$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.2141091,0.0,non
200,0.16417712,0.0,non
200,0.19494474,0.0,non
200,0.23470785,0.0,non
200,0.09076872,0.0,non
200,0.23520595,0.0,non
200,0.18679741,0.0,non
200,0.20117591,0.0,non
200,0.19816235,0.0,non
200,0.13494907,0.0,non
400,0.06482747,0.0,non
400,0.13478613,0.0,non
400,0.107582524,0.0,non
400,0.13629648,0.0,non
400,0.09583627,0.0,non
400,0.18775809,0.0,non
400,0.07917363,0.0,non
400,0.029543739,0.0,non
400,0.055221494,0.0,non
400,0.05719399,0.0,non
800,0.037115704,0.0,non
800,0.0699808,0.0,non
800,-0.01752846,0.0,non
800,0.065200716,0.0,non
800,0.06724019,0.0,non
800,0.06706034,0.0,non
800,0.052762963,0.0,non
800,0.0965973,0.0,non
800,0.058292255,0.0,non
800,0.07611236,0.0,non
1600,0.040338468,0.0,non
1600,0.051197127,0.0,non
1600,0.0326907,0.0,non
1600,0.058016606,0.0,non
1600,0.029315418,0.0,non
1600,-0.01328668,0.0,non
1600,0.030346407,0.0,non
1600,0.035098135,0.0,non
1600,0.032809164,0.0,non
1600,0.03955643,0.0,non
3200,0.033266325,0.0,non
3200,0.009093426,0.0,non
3200,0.012474859,0.0,non
3200,0.014779762,0.0,non
3200,0.010595772,0.0,non
3200,0.0052553588,0.0,non
3200,0.053480536,0.0,non
3200,0.01812808,0.0,non
3200,-0.014592378,0.0,non
3200,0.030523969,0.0,non
6400,0.021984588,0.0,non
6400,-0.0024190487,0.0,non
6400,0.004645103,0.0,non
6400,0.01483937,0.0,non
6400,0.022485875,0.0,non
6400,0.0043229666,0.0,non
6400,0.01805344,0.0,non
6400,0.019166796,0.0,non
6400,-0.003196765,0.0,non
6400,0.014803164,0.0,non
12800,0.011828701,0.0,non
12800,0.0066338587,0.0,non
12800,0.009383038,0.0,non
12800,-0.004435246,0.0,non
12800,0.0013350626,0.0,non
12800,0.004345302,0.0,non
12800,0.0050665257,0.0,non
12800,0.003194067,0.0,non
12800,0.014542001,0.0,non
12800,-0.0035167777,0.0,non
200,0.79812413,0.7,non
200,0.769009,0.7,non
200,0.69284713,0.7,non
200,0.7829988,0.7,non
200,0.7720287,0.7,non
200,0.75220627,0.7,non
200,0.7246449,0.7,non
200,0.72117,0.7,non
200,0.66153014,0.7,non
200,0.7669494,0.7,non
400,0.5561482,0.7,non
400,0.5126244,0.7,non
400,0.5831842,0.7,non
400,0.5276684,0.7,non
400,0.5825112,0.7,non
400,0.61708176,0.7,non
400,0.53693926,0.7,non
400,0.5789448,0.7,non
400,0.611265,0.7,non
400,0.66414136,0.7,non
800,0.30562633,0.7,non
800,0.2922688,0.7,non
800,0.2818523,0.7,non
800,0.30245772,0.7,non
800,0.27575508,0.7,non
800,0.23936923,0.7,non
800,0.31557593,0.7,non
800,0.29569876,0.7,non
800,0.21941744,0.7,non
800,0.26116377,0.7,non
1600,0.09619922,0.7,non
1600,0.045007143,0.7,non
1600,0.09519592,0.7,non
1600,0.10573213,0.7,non
1600,0.07609665,0.7,non
1600,0.07728288,0.7,non
1600,0.07819001,0.7,non
