$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.21654794,0.0,non
200,0.19101319,0.0,non
2400,0.045833856,0.0,non
2400,0.03422965,0.0,non
12800,-0.013252999,0.0,non
12800,0.013714549,0.0,non
200,0.91716933,0.1,non
200,0.9086932,0.1,non
2400,0.49435294,0.1,non
2400,0.45538488,0.1,non
12800,0.07389609,0.1,non
12800,0.066027455,0.1,non
200,0.93628645,0.2,non
200,0.9279589,0.2,non
2400,0.65340436,0.2,non
2400,0.72119105,0.2,non
12800,0.2598325,0.2,non
12800,0.27129817,0.2,non
200,0.9368329,0.3,non
200,0.9480881,0.3,non
2400,0.8059814,0.3,non
2400,0.81076455,0.3,non
12800,0.43518898,0.3,non
12800,0.37771246,0.3,non
