$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
300,0.12554243,0.0,non
300,0.15940554,0.0,non
300,0.15893021,0.0,non
300,0.17964128,0.0,non
300,0.11831725,0.0,non
300,0.11204543,0.0,non
300,0.1217468,0.0,non
300,0.10386463,0.0,non
300,0.12989202,0.0,non
300,0.21230093,0.0,non
600,0.09687983,0.0,non
600,0.054345835,0.0,non
600,0.10259223,0.0,non
600,0.07502622,0.0,non
600,0.08574699,0.0,non
600,0.0699271,0.0,non
600,0.072921306,0.0,non
600,0.03422165,0.0,non
600,0.06965021,0.0,non
600,0.066897936,0.0,non
300,0.68656224,1.0,non
300,0.728009,1.0,non
300,0.77009946,1.0,non
300,0.68616015,1.0,non
300,0.7652959,1.0,non
300,0.67687404,1.0,non
300,0.7697662,1.0,non
300,0.7005934,1.0,non
300,0.81456584,1.0,non
300,0.68507993,1.0,non
600,0.62669575,1.0,non
600,0.70838314,1.0,non
600,0.63335115,1.0,non
600,0.6601028,1.0,non
600,0.63076186,1.0,non
600,0.561315,1.0,non
600,0.650685,1.0,non
600,0.6371362,1.0,non
600,0.6670603,1.0,non
600,0.63739854,1.0,non
300,0.8260391,2.0,non
300,0.81263936,2.0,non
300,0.84114283,2.0,non
300,0.82953894,2.0,non
300,0.83034056,2.0,non
300,0.8667717,2.0,non
300,0.8560154,2.0,non
300,0.8640589,2.0,non
300,0.82178,2.0,non
300,0.8422254,2.0,non
600,0.803648,2.0,non
600,0.761186,2.0,non
600,0.8116614,2.0,non
600,0.7926128,2.0,non
600,0.8328192,2.0,non
600,0.7908046,2.0,non
600,0.8144494,2.0,non
600,0.7772002,2.0,non
600,0.75946885,2.0,non
600,0.78081316,2.0,non
