$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.12006286,0.0,non
200,0.2217799,0.0,non
200,0.2506447,0.0,non
200,0.16787359,0.0,non
200,0.2692448,0.0,non
200,0.18806309,0.0,non
200,0.24934489,0.0,non
200,0.12569551,0.0,non
200,0.19949272,0.0,non
200,0.15677945,0.0,non
400,0.08076355,0.0,non
400,-0.00798893,0.0,non
400,0.06408288,0.0,non
400,-0.0003417338,0.0,non
400,0.07894851,0.0,non
400,0.16936192,0.0,non
400,0.09934535,0.0,non
400,0.116490014,0.0,non
400,0.20052677,0.0,non
400,0.08675066,0.0,non
800,0.05892131,0.0,non
800,0.024679428,0.0,non
800,0.10075703,0.0,non
800,0.10092651,0.0,non
800,0.07062158,0.0,non
800,0.08497435,0.0,non
800,0.08302843,0.0,non
800,0.02433519,0.0,non
800,0.03385346,0.0,non
800,0.08463238,0.0,non
1600,0.013763047,0.0,non
1600,-0.012184007,0.0,non
1600,0.055405628,0.0,non
1600,0.0051496057,0.0,non
1600,0.068047814,0.0,non
1600,0.00427233,0.0,non
1600,0.008432687,0.0,non
1600,0.015472132,0.0,non
1600,0.035704236,0.0,non
1600,0.030570991,0.0,non
3200,0.016591135,0.0,non
3200,0.024701638,0.0,non
3200,0.005943147,0.0,non
3200,0.019536888,0.0,non
3200,0.022221692,0.0,non
3200,0.007031403,0.0,non
3200,0.0025909592,0.0,non
3200,0.018329227,0.0,non
3200,0.018101124,0.0,non
3200,0.0013423956,0.0,non
6400,0.0093561495,0.0,non
6400,0.010653188,0.0,non
6400,0.0061588027,0.0,non
6400,0.010555621,0.0,non
6400,0.010140243,0.0,non
6400,0.029157307,0.0,non
6400,0.027761593,0.0,non
6400,0.009137309,0.0,non
6400,0.008754101,0.0,non
6400,0.019017415,0.0,non
12800,-0.001738682,0.0,non
12800,0.005724031,0.0,non
12800,0.0042073177,0.0,non
12800,-0.017337913,0.0,non
12800,0.012699427,0.0,non
12800,0.009045685,0.0,non
12800,0.0040999954,0.0,non
12800,0.026648818,0.0,non
12800,-0.0010382644,0.0,non
12800,0.011192992,0.0,non
200,0.2679577,0.2,non
