Second Layer Vec Alignment,Second Layer Weight Alignment,Regularization $\lambda$,Step
-0.019635291770100594,-0.018793415278196335,0.0,0.0
-0.020332450047135353,-0.018827863037586212,0.0,1000.0
-0.020133737474679947,-0.018852373585104942,0.0,2000.0
-0.020000655204057693,-0.018863022327423096,0.0,3000.0
-0.019982611760497093,-0.018852172419428825,0.0,4000.0
-0.02005651779472828,-0.018843205645680428,0.0,5000.0
-0.019978513941168785,-0.01882530376315117,0.0,6000.0
-0.01972607895731926,-0.01880769059062004,0.0,7000.0
-0.01970989629626274,-0.018788494169712067,0.0,8000.0
-0.01949859783053398,-0.018767183646559715,0.0,9000.0
-0.020064737647771835,-0.01873181015253067,0.0,10000.0
-0.019711002707481384,-0.018707485869526863,0.0,11000.0
-0.01923956349492073,-0.018668312579393387,0.0,12000.0
-0.019201092422008514,-0.018626265227794647,0.0,13000.0
-0.01943262293934822,-0.01858535222709179,0.0,14000.0
-0.01936502754688263,-0.0185307115316391,0.0,15000.0
-0.01916925050318241,-0.01846368797123432,0.0,16000.0
-0.01909581571817398,-0.0184110626578331,0.0,17000.0
-0.01899288222193718,-0.018363749608397484,0.0,18000.0
-0.018565339967608452,-0.018298577517271042,0.0,19000.0
-0.019085170701146126,-0.018236907199025154,0.0,20000.0
-0.018812596797943115,-0.018170779570937157,0.0,21000.0
-0.018718712031841278,-0.018104784190654755,0.0,22000.0
-0.018640443682670593,-0.018027745187282562,0.0,23000.0
-0.018745170906186104,-0.01795048825442791,0.0,24000.0
-0.018437450751662254,-0.017876863479614258,0.0,25000.0
-0.018206985667347908,-0.01779140532016754,0.0,26000.0
-0.018319042399525642,-0.017705759033560753,0.0,27000.0
-0.017950555309653282,-0.017622793093323708,0.0,28000.0
-0.01820339821279049,-0.017537791281938553,0.0,29000.0
-0.01824813336133957,-0.017457647249102592,0.0,30000.0
-0.017356332391500473,-0.01736493408679962,0.0,31000.0
-0.017136581242084503,-0.017274225130677223,0.0,32000.0
-0.017699547111988068,-0.017187239602208138,0.0,33000.0
-0.017411919310688972,-0.017091983929276466,0.0,34000.0
-0.01728113368153572,-0.016998006030917168,0.0,35000.0
-0.01709863170981407,-0.016908498480916023,0.0,36000.0
-0.01700425148010254,-0.01681765727698803,0.0,37000.0
-0.017126962542533875,-0.016730831936001778,0.0,38000.0
-0.0162049513310194,-0.01663556881248951,0.0,39000.0
-0.016864998266100883,-0.016541656106710434,0.0,40000.0
-0.01658189669251442,-0.01644759811460972,0.0,41000.0
-0.016818860545754433,-0.016351016238331795,0.0,42000.0
-0.016762081533670425,-0.01625744253396988,0.0,43000.0
-0.016059445217251778,-0.01616770215332508,0.0,44000.0
-0.016024161130189896,-0.016075972467660904,0.0,45000.0
-0.016034340485930443,-0.015980292111635208,0.0,46000.0
-0.01586330495774746,-0.015885023400187492,0.0,47000.0
-0.015629548579454422,-0.01579405553638935,0.0,48000.0
-0.015209382399916649,-0.015697697177529335,0.0,49000.0
-0.01517887320369482,-0.015609938651323318,0.0,50000.0
-0.01551880408078432,-0.015516320243477821,0.0,51000.0
-0.014890744350850582,-0.015423075295984745,0.0,52000.0
-0.015401739627122879,-0.015332440845668316,0.0,53000.0
-0.014871462248265743,-0.015240355394780636,0.0,54000.0
-0.015495311468839645,-0.015147017315030098,0.0,55000.0
-0.014956423081457615,-0.015052782371640205,0.0,56000.0
-0.014754989184439182,-0.014961487613618374,0.0,57000.0
-0.014374217949807644,-0.01487339660525322,0.0,58000.0
-0.01525239460170269,-0.014785924926400185,0.0,59000.0
-0.014822164550423622,-0.014695880934596062,0.0,60000.0
-0.013845881447196007,-0.014605632983148098,0.0,61000.0
-0.014386221766471863,-0.014513328671455383,0.0,62000.0
-0.014164532534778118,-0.0144234299659729,0.0,63000.0
-0.014021233655512333,-0.014335403218865395,0.0,64000.0
-0.014354159124195576,-0.014249985106289387,0.0,65000.0
-0.013896038755774498,-0.014161715283989906,0.0,66000.0
-0.014311132952570915,-0.01407483872026205,0.0,67000.0
-0.014180478639900684,-0.013987690210342407,0.0,68000.0
-0.013226802460849285,-0.013903618790209293,0.0,69000.0
-0.013328256085515022,-0.013820173218846321,0.0,70000.0
-0.013146443292498589,-0.013729090802371502,0.0,71000.0
-0.013688776642084122,-0.013644514605402946,0.0,72000.0
-0.013330046087503433,-0.013559795916080475,0.0,73000.0
-0.013377102091908455,-0.01347670890390873,0.0,74000.0
-0.013409626670181751,-0.01339762657880783,0.0,75000.0
-0.013424601405858994,-0.01331796683371067,0.0,76000.0
-0.012670284137129784,-0.013237460516393185,0.0,77000.0
-0.012517130002379417,-0.013152317143976688,0.0,78000.0
-0.012793326750397682,-0.013067949563264847,0.0,79000.0
-0.012896861881017685,-0.01298436801880598,0.0,80000.0
-0.01305869035422802,-0.012901884503662586,0.0,81000.0
-0.012429654598236084,-0.012823028489947319,0.0,82000.0
-0.012754563242197037,-0.012739615514874458,0.0,83000.0
-0.012720637954771519,-0.012660030275583267,0.0,84000.0
-0.012212615460157394,-0.012585812248289585,0.0,85000.0
-0.011714383028447628,-0.012505684047937393,0.0,86000.0
-0.0121345529332757,-0.01242463942617178,0.0,87000.0
-0.011844112537801266,-0.012340241111814976,0.0,88000.0
-0.011674175970256329,-0.012257740832865238,0.0,89000.0
-0.012594438157975674,-0.012178752571344376,0.0,90000.0
-0.01192443072795868,-0.012097861617803574,0.0,91000.0
-0.011589864268898964,-0.012019182555377483,0.0,92000.0
-0.012077785097062588,-0.011946233920753002,0.0,93000.0
-0.011199213564395905,-0.011873516254127026,0.0,94000.0
-0.01203017495572567,-0.011796603910624981,0.0,95000.0
-0.011836185120046139,-0.011720390059053898,0.0,96000.0
-0.011210107244551182,-0.011639215052127838,0.0,97000.0
-0.01105391513556242,-0.011559460312128067,0.0,98000.0
-0.010429575107991695,-0.011487235315144062,0.0,99000.0
-0.011338266544044018,-0.01141666341573,0.0,100000.0
-0.011468818411231041,-0.011337566189467907,0.0,101000.0
-0.010451452806591988,-0.011259402148425579,0.0,102000.0
-0.010954026132822037,-0.011184019036591053,0.0,103000.0
-0.010589111596345901,-0.011108316481113434,0.0,104000.0
-0.011236840859055519,-0.011039143428206444,0.0,105000.0
-0.010910994373261929,-0.010963543318212032,0.0,106000.0
-0.010296807624399662,-0.010892679914832115,0.0,107000.0
-0.009993456304073334,-0.010821600444614887,0.0,108000.0
-0.010633737780153751,-0.010746817104518414,0.0,109000.0
-0.010708039626479149,-0.010674008168280125,0.0,110000.0
-0.01028351578861475,-0.010608060285449028,0.0,111000.0
-0.010180434212088585,-0.010531284846365452,0.0,112000.0
-0.010220099240541458,-0.010458030737936497,0.0,113000.0
-0.010032891295850277,-0.010388023220002651,0.0,114000.0
-0.010218859650194645,-0.010313307866454124,0.0,115000.0
-0.01021917536854744,-0.010242931544780731,0.0,116000.0
-0.009721740148961544,-0.01018025353550911,0.0,117000.0
-0.009667284786701202,-0.01010401826351881,0.0,118000.0
-0.00954508688300848,-0.010035905987024307,0.0,119000.0
-0.009675383567810059,-0.009967555291950703,0.0,120000.0
-0.009819981642067432,-0.00989583507180214,0.0,121000.0
-0.008848225697875023,-0.009824831038713455,0.0,122000.0
-0.009148814715445042,-0.009756362065672874,0.0,123000.0
-0.009265594184398651,-0.009689943864941597,0.0,124000.0
-0.009877449832856655,-0.009621174074709415,0.0,125000.0
-0.00933731161057949,-0.009551120921969414,0.0,126000.0
-0.008972481824457645,-0.00948317814618349,0.0,127000.0
-0.009762111119925976,-0.009418957866728306,0.0,128000.0
-0.008867437019944191,-0.009347326122224331,0.0,129000.0
-0.008759595453739166,-0.009283957071602345,0.0,130000.0
-0.0093160942196846,-0.009221616201102734,0.0,131000.0
-0.009172842837870121,-0.009151376783847809,0.0,132000.0
-0.00913368072360754,-0.00908246822655201,0.0,133000.0
-0.008651357144117355,-0.009015688672661781,0.0,134000.0
-0.00868186540901661,-0.008947023190557957,0.0,135000.0
-0.008597428910434246,-0.008878352120518684,0.0,136000.0
-0.008337664417922497,-0.008813789114356041,0.0,137000.0
-0.00831698440015316,-0.008748850785195827,0.0,138000.0
-0.008476684801280499,-0.00868525356054306,0.0,139000.0
-0.008258257992565632,-0.00862532202154398,0.0,140000.0
-0.008045339956879616,-0.00856005772948265,0.0,141000.0
-0.008283613249659538,-0.008491638116538525,0.0,142000.0
-0.008233400993049145,-0.008426624350249767,0.0,143000.0
-0.00785908941179514,-0.0083622382953763,0.0,144000.0
-0.00818504486232996,-0.008291116915643215,0.0,145000.0
-0.00806442741304636,-0.008229080587625504,0.0,146000.0
-0.00779348611831665,-0.00816702377051115,0.0,147000.0
-0.007564892526715994,-0.008107761852443218,0.0,148000.0
-0.00809666607528925,-0.008043644018471241,0.0,149000.0
-0.007722372654825449,-0.007981173694133759,0.0,150000.0
-0.007741279434412718,-0.007918898947536945,0.0,151000.0
-0.006857265252619982,-0.007856986485421658,0.0,152000.0
-0.007978287525475025,-0.007791286334395409,0.0,153000.0
-0.007833235897123814,-0.007735652383416891,0.0,154000.0
-0.006959295365959406,-0.007670871913433075,0.0,155000.0
-0.007428281009197235,-0.007608192507177591,0.0,156000.0
-0.0073180734179914,-0.007546932436525822,0.0,157000.0
-0.007130783051252365,-0.0074786171317100525,0.0,158000.0
-0.007221687119454145,-0.007418687921017408,0.0,159000.0
-0.006072335410863161,-0.007351630367338657,0.0,160000.0
-0.006544277537614107,-0.0072950441390275955,0.0,161000.0
-0.006804035976529121,-0.007234231568872929,0.0,162000.0
-0.007486254908144474,-0.00717354379594326,0.0,163000.0
-0.0067239729687571526,-0.007113240659236908,0.0,164000.0
-0.006838051602244377,-0.007057596929371357,0.0,165000.0
-0.007178856525570154,-0.00700242118909955,0.0,166000.0
-0.006603333633393049,-0.00693946797400713,0.0,167000.0
-0.006838351022452116,-0.0068781254813075066,0.0,168000.0
-0.006583262234926224,-0.006818662863224745,0.0,169000.0
-0.006532145198434591,-0.006762117613106966,0.0,170000.0
-0.006007394287735224,-0.006701992824673653,0.0,171000.0
-0.005912204273045063,-0.006642587017267942,0.0,172000.0
-0.006521651055663824,-0.00658375071361661,0.0,173000.0
-0.006452635861933231,-0.00652344711124897,0.0,174000.0
-0.0055651417933404446,-0.006468227133154869,0.0,175000.0
-0.00622327858582139,-0.00641427468508482,0.0,176000.0
-0.0057652792893350124,-0.00635398318991065,0.0,177000.0
-0.0060747419483959675,-0.006294908467680216,0.0,178000.0
-0.006255186628550291,-0.0062360018491744995,0.0,179000.0
-0.006190557964146137,-0.006180133204907179,0.0,180000.0
-0.005581906996667385,-0.006122198421508074,0.0,181000.0
-0.005587289109826088,-0.006063220091164112,0.0,182000.0
-0.006126616150140762,-0.006007294170558453,0.0,183000.0
-0.006092049181461334,-0.005949364509433508,0.0,184000.0
-0.005184638779610395,-0.005884641315788031,0.0,185000.0
-0.004847020376473665,-0.005829399451613426,0.0,186000.0
-0.005021622870117426,-0.005778707563877106,0.0,187000.0
-0.005179906729608774,-0.0057261972688138485,0.0,188000.0
-0.005399374756962061,-0.005667060613632202,0.0,189000.0
-0.005354094784706831,-0.00561697781085968,0.0,190000.0
-0.005586009472608566,-0.005556275602430105,0.0,191000.0
-0.005176940467208624,-0.0055013117380440235,0.0,192000.0
-0.004860043991357088,-0.005448655225336552,0.0,193000.0
-0.0043432521633803844,-0.0053923968225717545,0.0,194000.0
-0.005109364166855812,-0.005341149400919676,0.0,195000.0
-0.00497041828930378,-0.005284699611365795,0.0,196000.0
-0.005244730040431023,-0.005225104279816151,0.0,197000.0
-0.004511100705713034,-0.005169657990336418,0.0,198000.0
-0.00440579280257225,-0.005112888291478157,0.0,199000.0
-0.0044008283875882626,-0.0050604273565113544,0.0,200000.0
-0.004590670578181744,-0.005006571765989065,0.0,201000.0
-0.004502287600189447,-0.004950622096657753,0.0,202000.0
-0.004363420885056257,-0.00489630363881588,0.0,203000.0
-0.004273128695785999,-0.004843999166041613,0.0,204000.0
-0.004176825284957886,-0.004792176187038422,0.0,205000.0
-0.004028990864753723,-0.004739788826555014,0.0,206000.0
-0.00434150081127882,-0.0046840691938996315,0.0,207000.0
-0.0042944420129060745,-0.004628514871001244,0.0,208000.0
-0.0044552721083164215,-0.0045768278650939465,0.0,209000.0
-0.003598074894398451,-0.004519822541624308,0.0,210000.0
-0.0038722630124539137,-0.00446608942002058,0.0,211000.0
-0.004244198556989431,-0.004414844326674938,0.0,212000.0
-0.0036696286406368017,-0.004363719839602709,0.0,213000.0
-0.0037584961391985416,-0.0043095131404697895,0.0,214000.0
-0.0038711645174771547,-0.004258748609572649,0.0,215000.0
-0.003209765302017331,-0.004207444377243519,0.0,216000.0
-0.0037688740994781256,-0.004154984839260578,0.0,217000.0
-0.003586568171158433,-0.004100714344531298,0.0,218000.0
-0.0037717074155807495,-0.00405257660895586,0.0,219000.0
-0.003356984117999673,-0.003997456282377243,0.0,220000.0
-0.0032306057401001453,-0.003948744852095842,0.0,221000.0
-0.003237455617636442,-0.0038989128079265356,0.0,222000.0
-0.002680132631212473,-0.003849590662866831,0.0,223000.0
-0.0030531727243214846,-0.003802918829023838,0.0,224000.0
-0.003655308624729514,-0.0037508532404899597,0.0,225000.0
-0.0031388092320412397,-0.003698198590427637,0.0,226000.0
-0.003335842164233327,-0.0036457704845815897,0.0,227000.0
-0.0031050972174853086,-0.0035910923033952713,0.0,228000.0
-0.003137424122542143,-0.0035392679274082184,0.0,229000.0
-0.0031588540878146887,-0.0034950487315654755,0.0,230000.0
-0.002649728674441576,-0.0034451826941221952,0.0,231000.0
-0.0028437587898224592,-0.0033881464041769505,0.0,232000.0
-0.002785708988085389,-0.0033397325314581394,0.0,233000.0
-0.003127876203507185,-0.0032882383093237877,0.0,234000.0
-0.002424408681690693,-0.0032435369212180376,0.0,235000.0
-0.0022150459699332714,-0.0031916883308440447,0.0,236000.0
-0.002436652546748519,-0.003142349421977997,0.0,237000.0
-0.002352186245843768,-0.0030903297010809183,0.0,238000.0
-0.002418785821646452,-0.003041149815544486,0.0,239000.0
-0.002268256386741996,-0.002990319160744548,0.0,240000.0
-0.0020115259103477,-0.002942476188763976,0.0,241000.0
-0.0020498621743172407,-0.002893935889005661,0.0,242000.0
-0.002389447297900915,-0.002851166296750307,0.0,243000.0
-0.0024812184274196625,-0.002800800371915102,0.0,244000.0
-0.002137955743819475,-0.002744943369179964,0.0,245000.0
-0.002554365899413824,-0.002697722287848592,0.0,246000.0
-0.0017735371366143227,-0.0026529207825660706,0.0,247000.0
-0.0018691531149670482,-0.0025972328148782253,0.0,248000.0
