Loss,Accuracy,Regularization $\lambda$,Step
22.269166910703767,0.0986,0.0,0.0
21.195689813836456,0.1053,0.0,1000.0
20.28970740995245,0.1085,0.0,2000.0
19.63835685206991,0.1146,0.0,3000.0
18.961407421343324,0.122,0.0,4000.0
18.371737180128466,0.1292,0.0,5000.0
17.820403102853636,0.1351,0.0,6000.0
17.370908603030895,0.1391,0.0,7000.0
16.89487307233159,0.1444,0.0,8000.0
16.441878728065138,0.1491,0.0,9000.0
16.036461891220267,0.1549,0.0,10000.0
15.671660445733238,0.1631,0.0,11000.0
15.325097828260807,0.1705,0.0,12000.0
15.005913818979217,0.1762,0.0,13000.0
14.621066406958079,0.1849,0.0,14000.0
14.312972981625268,0.1902,0.0,15000.0
13.982269062117135,0.1967,0.0,16000.0
13.689821648375785,0.2029,0.0,17000.0
13.360682749917503,0.2121,0.0,18000.0
13.023148767902896,0.219,0.0,19000.0
12.758134916155953,0.2249,0.0,20000.0
12.460165618978406,0.2328,0.0,21000.0
12.216116892611725,0.2403,0.0,22000.0
11.954364293571194,0.2486,0.0,23000.0
11.731114670027466,0.2542,0.0,24000.0
11.447081427130318,0.261,0.0,25000.0
11.233194773330236,0.2699,0.0,26000.0
11.015987935286825,0.277,0.0,27000.0
10.783052753895861,0.2845,0.0,28000.0
10.597289899231225,0.292,0.0,29000.0
10.423215506815565,0.299,0.0,30000.0
10.241814770341472,0.3053,0.0,31000.0
10.06012198096512,0.3114,0.0,32000.0
9.867652293534716,0.3173,0.0,33000.0
9.693660500427539,0.326,0.0,34000.0
9.531956456570494,0.3298,0.0,35000.0
9.375656967899697,0.3353,0.0,36000.0
9.214829829611013,0.3412,0.0,37000.0
9.06682116442677,0.3477,0.0,38000.0
8.931736562209618,0.3529,0.0,39000.0
8.786245865260911,0.3585,0.0,40000.0
8.656536146791847,0.3635,0.0,41000.0
8.526347628001028,0.3696,0.0,42000.0
8.420725552200127,0.3747,0.0,43000.0
8.293734824402549,0.3802,0.0,44000.0
8.167913724460453,0.3855,0.0,45000.0
8.057868698745432,0.3907,0.0,46000.0
7.9414685541724594,0.3954,0.0,47000.0
7.823094657741148,0.4013,0.0,48000.0
7.714526641304412,0.4081,0.0,49000.0
7.616359776121407,0.4114,0.0,50000.0
7.521569381798427,0.416,0.0,51000.0
7.417708649502658,0.4208,0.0,52000.0
7.33030778187882,0.4248,0.0,53000.0
7.234702005882017,0.4304,0.0,54000.0
7.150890662870472,0.4338,0.0,55000.0
7.056053081567582,0.4391,0.0,56000.0
6.976387646498563,0.4455,0.0,57000.0
6.889929764286736,0.4476,0.0,58000.0
6.811380479844414,0.4524,0.0,59000.0
6.7376862718554955,0.4565,0.0,60000.0
6.675304757044502,0.4584,0.0,61000.0
6.596850553172578,0.4624,0.0,62000.0
6.5295955293941494,0.465,0.0,63000.0
6.455956106295256,0.4702,0.0,64000.0
6.402450763423666,0.4737,0.0,65000.0
6.3375392855368125,0.475,0.0,66000.0
6.27094759431516,0.4805,0.0,67000.0
6.2072290972697655,0.4834,0.0,68000.0
6.141266469829232,0.4876,0.0,69000.0
6.081162641840405,0.4905,0.0,70000.0
6.037466274976547,0.491,0.0,71000.0
5.980075872864969,0.4947,0.0,72000.0
5.931195880169529,0.4965,0.0,73000.0
5.867458656105939,0.501,0.0,74000.0
5.811273788186236,0.504,0.0,75000.0
5.75100846319845,0.5096,0.0,76000.0
5.695337596766229,0.5144,0.0,77000.0
5.644242289424926,0.5171,0.0,78000.0
5.5944495522334226,0.5189,0.0,79000.0
5.550838505621591,0.5233,0.0,80000.0
5.496903809259922,0.5258,0.0,81000.0
5.455565941664722,0.5292,0.0,82000.0
5.407233339526814,0.5312,0.0,83000.0
5.373770591963703,0.5345,0.0,84000.0
5.32288728179209,0.5366,0.0,85000.0
5.285821444012845,0.5383,0.0,86000.0
5.2490233492373,0.54,0.0,87000.0
5.200816122053603,0.5442,0.0,88000.0
5.1633267748011855,0.5469,0.0,89000.0
5.125662570970356,0.5509,0.0,90000.0
5.0897385477750845,0.5535,0.0,91000.0
5.049518699886929,0.556,0.0,92000.0
5.008750716938095,0.5604,0.0,93000.0
4.972297112253416,0.565,0.0,94000.0
4.93309801964002,0.5681,0.0,95000.0
4.899887796964644,0.5705,0.0,96000.0
4.863803422705484,0.5724,0.0,97000.0
4.831746789030081,0.5739,0.0,98000.0
4.80266530111234,0.5759,0.0,99000.0
4.773120980155154,0.578,0.0,100000.0
4.739566385780468,0.581,0.0,101000.0
4.709278454935766,0.5828,0.0,102000.0
4.680239401214735,0.5833,0.0,103000.0
4.644306215505688,0.5871,0.0,104000.0
4.615934050152056,0.5886,0.0,105000.0
4.589412971420202,0.5912,0.0,106000.0
4.561868018027202,0.5924,0.0,107000.0
4.532798380938199,0.5957,0.0,108000.0
4.507046390595371,0.5962,0.0,109000.0
4.482787651542735,0.5978,0.0,110000.0
4.460551874656334,0.5988,0.0,111000.0
4.4282609491521185,0.602,0.0,112000.0
4.402189825394246,0.6027,0.0,113000.0
4.375710000639467,0.606,0.0,114000.0
4.3544458088052265,0.6075,0.0,115000.0
4.326766658723749,0.6098,0.0,116000.0
4.3047429619685555,0.6119,0.0,117000.0
4.27845705158287,0.6128,0.0,118000.0
4.258573453057449,0.6159,0.0,119000.0
4.23766825589044,0.617,0.0,120000.0
4.219527646480773,0.6184,0.0,121000.0
4.194745993924283,0.6203,0.0,122000.0
4.174253057497866,0.6209,0.0,123000.0
4.152047942627058,0.6232,0.0,124000.0
4.13500126931355,0.6243,0.0,125000.0
4.116499880398635,0.6258,0.0,126000.0
4.093145820750882,0.6289,0.0,127000.0
4.074140162875904,0.6307,0.0,128000.0
4.052123875300007,0.6308,0.0,129000.0
4.030786962600904,0.6334,0.0,130000.0
4.019257168235726,0.6315,0.0,131000.0
3.9992686695982194,0.6339,0.0,132000.0
3.9818593196069116,0.6351,0.0,133000.0
3.959035563787876,0.6372,0.0,134000.0
3.9391087118292156,0.6384,0.0,135000.0
3.9171659091159707,0.6403,0.0,136000.0
3.8971917891132586,0.6422,0.0,137000.0
3.8781378519606116,0.6433,0.0,138000.0
3.85862753250546,0.6454,0.0,139000.0
3.8433509285714567,0.645,0.0,140000.0
3.8244947011992774,0.6465,0.0,141000.0
3.8096327143467845,0.6481,0.0,142000.0
3.7908102537539867,0.6499,0.0,143000.0
3.7784747824981837,0.6505,0.0,144000.0
3.7586376653384215,0.6527,0.0,145000.0
3.7458129171438785,0.6526,0.0,146000.0
3.732325002560339,0.6534,0.0,147000.0
3.7143324596827942,0.6546,0.0,148000.0
3.698307022498023,0.6553,0.0,149000.0
3.683275134214961,0.6583,0.0,150000.0
3.6720235574735742,0.6598,0.0,151000.0
3.6549203795322787,0.6592,0.0,152000.0
3.6373523756979296,0.663,0.0,153000.0
3.619368767154522,0.6622,0.0,154000.0
3.6031750148291257,0.6628,0.0,155000.0
3.589443419150856,0.6648,0.0,156000.0
3.574368062863425,0.6649,0.0,157000.0
3.5627765421163393,0.6665,0.0,158000.0
3.5494168665762444,0.6666,0.0,159000.0
3.537291654466727,0.6681,0.0,160000.0
3.522675649112115,0.6701,0.0,161000.0
3.5100563864099255,0.671,0.0,162000.0
3.4977278531687044,0.6707,0.0,163000.0
3.4799694406910677,0.6733,0.0,164000.0
3.46787392252571,0.6744,0.0,165000.0
3.4573551800188276,0.6756,0.0,166000.0
3.4454829116446386,0.6762,0.0,167000.0
3.432448960140259,0.6772,0.0,168000.0
3.4199896696617174,0.6778,0.0,169000.0
3.409646886390231,0.6777,0.0,170000.0
3.4010809036422254,0.6785,0.0,171000.0
3.386820782699981,0.6796,0.0,172000.0
3.3755360054763166,0.6803,0.0,173000.0
3.3638112865386947,0.6817,0.0,174000.0
3.355984413822567,0.6823,0.0,175000.0
3.343198405603282,0.6839,0.0,176000.0
3.3346333046625682,0.6844,0.0,177000.0
3.3226162099674506,0.6861,0.0,178000.0
3.3119297459222246,0.6854,0.0,179000.0
3.303876494752607,0.6853,0.0,180000.0
3.294466663473481,0.6875,0.0,181000.0
3.280359756877755,0.6887,0.0,182000.0
3.271517879505141,0.6883,0.0,183000.0
3.261253815733652,0.6892,0.0,184000.0
3.2520766488653137,0.6903,0.0,185000.0
3.2423723776596756,0.6922,0.0,186000.0
3.2314289484889605,0.6922,0.0,187000.0
3.222723861018071,0.6928,0.0,188000.0
3.2121801685097013,0.694,0.0,189000.0
3.201191188519699,0.6952,0.0,190000.0
3.1981155405333417,0.6951,0.0,191000.0
3.1871066785251947,0.6953,0.0,192000.0
3.1784936375227932,0.6954,0.0,193000.0
3.16481364238613,0.6976,0.0,194000.0
3.1551152266235016,0.6989,0.0,195000.0
3.142048588640253,0.6994,0.0,196000.0
3.130224646582782,0.7013,0.0,197000.0
3.1211208343130643,0.7028,0.0,198000.0
3.1111718815009253,0.7027,0.0,199000.0
3.1014086114186457,0.704,0.0,200000.0
3.0912291521300563,0.7046,0.0,201000.0
3.084662882624914,0.7052,0.0,202000.0
3.0769195453940004,0.7066,0.0,203000.0
3.0697814904387606,0.7059,0.0,204000.0
3.0603410478187585,0.7068,0.0,205000.0
3.0536029182865176,0.7085,0.0,206000.0
3.0461865465648668,0.7083,0.0,207000.0
3.0373232377035477,0.7094,0.0,208000.0
3.028324772918692,0.7095,0.0,209000.0
3.0181168635698223,0.7107,0.0,210000.0
3.0123738016048756,0.7112,0.0,211000.0
3.004660974964505,0.7113,0.0,212000.0
2.9938656555650054,0.7136,0.0,213000.0
2.984171945144509,0.7144,0.0,214000.0
2.975025884926918,0.7141,0.0,215000.0
2.967168349235539,0.7166,0.0,216000.0
2.959034800757873,0.7168,0.0,217000.0
2.953469621290385,0.7164,0.0,218000.0
2.944530554975614,0.7173,0.0,219000.0
2.9383797555649913,0.7176,0.0,220000.0
2.9293128850954195,0.7191,0.0,221000.0
2.9219759633527715,0.7203,0.0,222000.0
2.9168899275452405,0.7203,0.0,223000.0
2.905778636379715,0.722,0.0,224000.0
2.898604612041811,0.7218,0.0,225000.0
2.893161176249916,0.7215,0.0,226000.0
2.8857954828284385,0.723,0.0,227000.0
2.877479905947409,0.7243,0.0,228000.0
2.871796396197466,0.7249,0.0,229000.0
2.864664616886724,0.7251,0.0,230000.0
2.8611699010243488,0.7245,0.0,231000.0
2.8533616438789946,0.7259,0.0,232000.0
2.8471744929070235,0.7263,0.0,233000.0
2.8407447943313393,0.7263,0.0,234000.0
2.837519034129035,0.7271,0.0,235000.0
2.829674544522187,0.7275,0.0,236000.0
2.824691886687708,0.728,0.0,237000.0
2.8179818605959888,0.7281,0.0,238000.0
2.810762196245323,0.7298,0.0,239000.0
2.807245995056185,0.7305,0.0,240000.0
