Loss,Accuracy,Regularization $\lambda$,Step
18.852158984375,0.119,0.0,0.0
14.167043896484374,0.1898,0.0,1000.0
11.276565673828125,0.2575,0.0,2000.0
9.33016533203125,0.329,0.0,3000.0
8.009683520507812,0.3878,0.0,4000.0
7.081396826171875,0.4364,0.0,5000.0
6.399675183105469,0.4763,0.0,6000.0
5.873867724609375,0.5083,0.0,7000.0
5.451472546386719,0.5339,0.0,8000.0
5.104474133300781,0.5569,0.0,9000.0
4.815439013671875,0.5766,0.0,10000.0
4.5681685424804686,0.5972,0.0,11000.0
4.354574291992187,0.6107,0.0,12000.0
4.167579559326172,0.6231,0.0,13000.0
4.000445831298828,0.6327,0.0,14000.0
3.8533018432617188,0.6437,0.0,15000.0
3.7186594177246093,0.6538,0.0,16000.0
3.5981467590332032,0.6621,0.0,17000.0
3.488011114501953,0.6716,0.0,18000.0
3.38805224609375,0.6789,0.0,19000.0
3.2953840026855468,0.6862,0.0,20000.0
3.2109784118652342,0.6927,0.0,21000.0
3.1320098052978516,0.6997,0.0,22000.0
3.058383752441406,0.7045,0.0,23000.0
2.9897136535644533,0.7097,0.0,24000.0
2.9256081970214844,0.7156,0.0,25000.0
2.865567672729492,0.7188,0.0,26000.0
2.809440069580078,0.7244,0.0,27000.0
2.756308575439453,0.7285,0.0,28000.0
2.7065233337402343,0.7321,0.0,29000.0
2.6594118896484376,0.7367,0.0,30000.0
2.6146398162841797,0.7407,0.0,31000.0
2.572647149658203,0.7454,0.0,32000.0
2.5326649780273436,0.7496,0.0,33000.0
2.494583010864258,0.7527,0.0,34000.0
2.459104443359375,0.7551,0.0,35000.0
2.4243615798950193,0.7577,0.0,36000.0
2.3914970825195314,0.7607,0.0,37000.0
2.360721438598633,0.763,0.0,38000.0
2.329703790283203,0.7653,0.0,39000.0
2.301056706237793,0.7681,0.0,40000.0
2.2733608154296876,0.7697,0.0,41000.0
2.247340287780762,0.7714,0.0,42000.0
2.22177561340332,0.7731,0.0,43000.0
2.196518859863281,0.7765,0.0,44000.0
2.172909191894531,0.7783,0.0,45000.0
2.150633908081055,0.7802,0.0,46000.0
2.128644445800781,0.7834,0.0,47000.0
2.106849592590332,0.785,0.0,48000.0
