Loss,Accuracy,Regularization $\lambda$,Step
17.81035244140625,0.1193,0.0,0.0
13.5713517578125,0.2026,0.0,1000.0
11.00113291015625,0.2807,0.0,2000.0
9.205816357421876,0.3454,0.0,3000.0
7.927788745117187,0.4065,0.0,4000.0
6.99280498046875,0.4522,0.0,5000.0
6.283890600585938,0.4902,0.0,6000.0
5.729079833984375,0.5229,0.0,7000.0
5.287531689453125,0.5502,0.0,8000.0
4.92526976928711,0.571,0.0,9000.0
4.624161456298828,0.5906,0.0,10000.0
4.368546893310547,0.6083,0.0,11000.0
4.151390563964844,0.6241,0.0,12000.0
3.961804962158203,0.6384,0.0,13000.0
3.7958104736328124,0.6509,0.0,14000.0
3.6512347717285154,0.662,0.0,15000.0
3.5210661193847654,0.6709,0.0,16000.0
3.4056073333740233,0.6793,0.0,17000.0
3.29978821105957,0.6869,0.0,18000.0
3.2043765869140626,0.6955,0.0,19000.0
3.117339422607422,0.7044,0.0,20000.0
3.0366026306152345,0.7095,0.0,21000.0
2.963345162963867,0.7152,0.0,22000.0
2.895055456542969,0.7216,0.0,23000.0
2.8323005157470704,0.7271,0.0,24000.0
2.772672317504883,0.7312,0.0,25000.0
2.717788708496094,0.7348,0.0,26000.0
2.6661899368286135,0.7389,0.0,27000.0
2.618068832397461,0.7427,0.0,28000.0
2.5724727600097657,0.7468,0.0,29000.0
2.5295021102905273,0.7503,0.0,30000.0
2.489151936340332,0.7533,0.0,31000.0
2.4508277618408205,0.7572,0.0,32000.0
2.4146991287231447,0.7601,0.0,33000.0
2.380445878601074,0.7629,0.0,34000.0
2.3475929290771482,0.766,0.0,35000.0
2.3161292297363283,0.7687,0.0,36000.0
2.286448838806152,0.7722,0.0,37000.0
2.258177456665039,0.7742,0.0,38000.0
2.231060273742676,0.7767,0.0,39000.0
2.204698075866699,0.7788,0.0,40000.0
2.179764683532715,0.7813,0.0,41000.0
2.1559046096801757,0.7827,0.0,42000.0
2.1329826370239258,0.7853,0.0,43000.0
2.11062540435791,0.7871,0.0,44000.0
2.0899399032592774,0.7887,0.0,45000.0
2.068596844482422,0.7909,0.0,46000.0
2.049079542541504,0.7925,0.0,47000.0
2.0301108474731446,0.7939,0.0,48000.0
2.011124719238281,0.7951,0.0,49000.0
1.9935066612243653,0.796,0.0,50000.0
1.976523159790039,0.7972,0.0,51000.0
1.959783861541748,0.7994,0.0,52000.0
1.943726067352295,0.801,0.0,53000.0
1.9277209312438965,0.8022,0.0,54000.0
1.9125315170288086,0.8039,0.0,55000.0
1.8982609649658204,0.8049,0.0,56000.0
1.8831643211364746,0.8067,0.0,57000.0
1.8688416915893555,0.8081,0.0,58000.0
1.8550331169128418,0.8092,0.0,59000.0
1.8421445808410644,0.8102,0.0,60000.0
1.8289029647827149,0.8115,0.0,61000.0
1.8168403549194336,0.8136,0.0,62000.0
1.8042182640075684,0.8143,0.0,63000.0
1.7921781814575195,0.8157,0.0,64000.0
1.7806753807067872,0.8168,0.0,65000.0
1.7692167510986327,0.8178,0.0,66000.0
1.7581133567810059,0.8185,0.0,67000.0
1.746878229522705,0.8193,0.0,68000.0
1.7366698539733887,0.821,0.0,69000.0
1.725815476989746,0.822,0.0,70000.0
1.7155818954467774,0.8231,0.0,71000.0
1.7057657524108887,0.8242,0.0,72000.0
1.6964906997680664,0.8252,0.0,73000.0
1.686788200378418,0.8254,0.0,74000.0
1.6771297019958495,0.8261,0.0,75000.0
1.6679917320251465,0.827,0.0,76000.0
1.6590023277282715,0.8284,0.0,77000.0
1.6499758827209472,0.8291,0.0,78000.0
1.6410195358276367,0.83,0.0,79000.0
1.6330604347229003,0.831,0.0,80000.0
1.624791333770752,0.8307,0.0,81000.0
1.6165205009460448,0.8315,0.0,82000.0
1.6089346168518066,0.8327,0.0,83000.0
1.600514959716797,0.8334,0.0,84000.0
1.5930311492919922,0.8338,0.0,85000.0
1.584962329864502,0.8345,0.0,86000.0
1.5777490928649902,0.8349,0.0,87000.0
1.570523101043701,0.8358,0.0,88000.0
1.5631389770507813,0.836,0.0,89000.0
1.556588003540039,0.8367,0.0,90000.0
1.5494264068603516,0.8374,0.0,91000.0
1.54270884475708,0.838,0.0,92000.0
1.5358221366882325,0.8386,0.0,93000.0
1.5291647010803222,0.8388,0.0,94000.0
1.5229671104431153,0.8394,0.0,95000.0
1.5159685195922852,0.8397,0.0,96000.0
1.5098699714660644,0.8405,0.0,97000.0
1.5032530372619628,0.8409,0.0,98000.0
1.4972460289001466,0.8413,0.0,99000.0
1.491064743041992,0.8416,0.0,100000.0
1.4855792747497558,0.842,0.0,101000.0
1.4795516387939454,0.8425,0.0,102000.0
1.4744229400634765,0.8433,0.0,103000.0
1.4678106491088867,0.844,0.0,104000.0
1.4622743453979492,0.8446,0.0,105000.0
1.457046385192871,0.8447,0.0,106000.0
1.4516083839416505,0.8453,0.0,107000.0
1.4463134735107421,0.8456,0.0,108000.0
1.4407380859375,0.8461,0.0,109000.0
1.4353911109924316,0.8465,0.0,110000.0
1.4300402305603028,0.8469,0.0,111000.0
1.424724242401123,0.8475,0.0,112000.0
1.4200064132690429,0.8476,0.0,113000.0
1.414943711090088,0.8481,0.0,114000.0
1.4103656326293945,0.8485,0.0,115000.0
1.4051741668701172,0.8483,0.0,116000.0
1.4005787910461425,0.8494,0.0,117000.0
1.3959634231567384,0.8499,0.0,118000.0
1.391608034515381,0.8504,0.0,119000.0
1.3865740562438964,0.851,0.0,120000.0
1.3817471015930176,0.851,0.0,121000.0
1.3770374084472656,0.8511,0.0,122000.0
1.3721065391540528,0.8511,0.0,123000.0
1.3683044921875,0.852,0.0,124000.0
1.3636267234802246,0.8523,0.0,125000.0
1.3598696273803712,0.8524,0.0,126000.0
1.355485952758789,0.8532,0.0,127000.0
1.3511690078735352,0.8535,0.0,128000.0
1.3466192527770997,0.8533,0.0,129000.0
1.3423674560546874,0.8541,0.0,130000.0
1.338959649658203,0.8537,0.0,131000.0
1.334942692565918,0.8538,0.0,132000.0
1.3312058937072755,0.8541,0.0,133000.0
1.3268152053833009,0.8546,0.0,134000.0
1.3230481559753418,0.855,0.0,135000.0
1.3191093246459962,0.8551,0.0,136000.0
1.315373342895508,0.8554,0.0,137000.0
1.3113844848632812,0.856,0.0,138000.0
1.3081541954040528,0.8561,0.0,139000.0
1.3045448120117187,0.8567,0.0,140000.0
