$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
800,0.24178733,0.0,relu
800,0.28483874,0.0,relu
800,0.24248315,0.0,relu
1600,0.29481873,0.0,relu
1600,0.27258468,0.0,relu
1600,0.2957548,0.0,relu
800,0.3680524,0.4,relu
800,0.35177538,0.4,relu
800,0.35093006,0.4,relu
1600,0.26019374,0.4,relu
1600,0.28762898,0.4,relu
1600,0.3363104,0.4,relu
800,0.45022526,0.6,relu
800,0.49850067,0.6,relu
800,0.31775758,0.6,relu
1600,0.32760802,0.6,relu
1600,0.42969722,0.6,relu
1600,0.3728497,0.6,relu
800,0.62308645,0.8,relu
800,0.5667233,0.8,relu
800,0.5448746,0.8,relu
1600,0.3715532,0.8,relu
1600,0.4085002,0.8,relu
1600,0.48577705,0.8,relu
