$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.22690304,0.0,relu
200,0.22729926,0.0,relu
200,0.22876321,0.0,relu
200,0.1641804,0.0,relu
200,0.24439381,0.0,relu
200,0.24506518,0.0,relu
200,0.15063281,0.0,relu
200,0.26674885,0.0,relu
200,0.16179241,0.0,relu
200,0.20704703,0.0,relu
200,0.25910607,0.0,relu
200,0.24770227,0.0,relu
200,0.27239493,0.0,relu
200,0.19509345,0.0,relu
200,0.15210582,0.0,relu
2400,0.025117006,0.0,relu
2400,0.05646424,0.0,relu
2400,0.0041790158,0.0,relu
2400,0.030349558,0.0,relu
2400,0.04710456,0.0,relu
2400,-0.002407634,0.0,relu
2400,0.0385966,0.0,relu
2400,0.021456704,0.0,relu
2400,0.059029307,0.0,relu
2400,0.05487535,0.0,relu
2400,0.032774553,0.0,relu
2400,0.010101481,0.0,relu
2400,0.03466038,0.0,relu
2400,0.054092515,0.0,relu
2400,0.032842886,0.0,relu
12800,-0.010885729,0.0,relu
12800,0.004546017,0.0,relu
12800,-0.0008577131,0.0,relu
12800,0.0013985732,0.0,relu
12800,0.019563213,0.0,relu
12800,0.009701235,0.0,relu
12800,0.010547684,0.0,relu
12800,-0.00013806873,0.0,relu
12800,0.0077333935,0.0,relu
12800,0.009008343,0.0,relu
12800,0.0015715756,0.0,relu
12800,0.0048372103,0.0,relu
12800,0.01209281,0.0,relu
12800,0.006622216,0.0,relu
12800,-0.0024553167,0.0,relu
200,0.84752405,0.4,relu
200,0.80298054,0.4,relu
200,0.82005215,0.4,relu
200,0.830447,0.4,relu
200,0.8348047,0.4,relu
200,0.6885675,0.4,relu
200,0.72259647,0.4,relu
200,0.88024634,0.4,relu
200,0.7547807,0.4,relu
200,0.78814596,0.4,relu
200,0.71674263,0.4,relu
200,0.83262527,0.4,relu
200,0.8410278,0.4,relu
200,0.8442482,0.4,relu
200,0.81311464,0.4,relu
2400,0.6138968,0.4,relu
2400,0.58039236,0.4,relu
2400,0.6113963,0.4,relu
2400,0.66155195,0.4,relu
2400,0.6054068,0.4,relu
2400,0.5525722,0.4,relu
2400,0.6324248,0.4,relu
2400,0.6227695,0.4,relu
2400,0.65605575,0.4,relu
2400,0.63659185,0.4,relu
2400,0.60120445,0.4,relu
2400,0.68698347,0.4,relu
2400,0.58109874,0.4,relu
2400,0.63910574,0.4,relu
2400,0.6197973,0.4,relu
12800,0.019843047,0.4,relu
12800,0.00017317238,0.4,relu
12800,0.021007102,0.4,relu
12800,0.026091421,0.4,relu
12800,0.022812169,0.4,relu
12800,0.006429227,0.4,relu
12800,0.0071323924,0.4,relu
12800,0.0128027955,0.4,relu
12800,0.0063976934,0.4,relu
12800,0.0067374525,0.4,relu
12800,0.030040188,0.4,relu
12800,0.014972491,0.4,relu
12800,0.0039751823,0.4,relu
12800,0.008353861,0.4,relu
12800,0.0070642526,0.4,relu
200,0.7597706,0.6,relu
200,0.8563522,0.6,relu
