$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.23699227,0.0,relu
200,0.23514804,0.0,relu
800,0.034141522,0.0,relu
800,0.07558489,0.0,relu
3200,0.007744637,0.0,relu
3200,0.039433695,0.0,relu
12800,0.010599407,0.0,relu
12800,0.007610599,0.0,relu
200,0.8693198,0.4,relu
200,0.82049453,0.4,relu
800,0.8444882,0.4,relu
800,0.6412108,0.4,relu
3200,0.6616135,0.4,relu
3200,0.7302968,0.4,relu
12800,0.014256585,0.4,relu
12800,0.0021417344,0.4,relu
200,0.78366494,0.6,relu
200,0.90353245,0.6,relu
800,0.8683249,0.6,relu
800,0.8230084,0.6,relu
3200,0.6151254,0.6,relu
3200,0.7514122,0.6,relu
12800,0.02009844,0.6,relu
12800,0.032495163,0.6,relu
200,0.67295164,0.8,relu
200,0.86615187,0.8,relu
800,0.78594404,0.8,relu
800,0.86442685,0.8,relu
3200,0.743647,0.8,relu
3200,0.830766,0.8,relu
12800,0.6561214,0.8,relu
12800,0.63380665,0.8,relu
