$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.24858497,0.0,relu
200,0.27530107,0.0,relu
200,0.36676043,0.0,relu
200,0.35813293,0.0,relu
200,0.3096514,0.0,relu
200,0.36550575,0.0,relu
200,0.33693114,0.0,relu
200,0.3292876,0.0,relu
200,0.33746946,0.0,relu
200,0.29034942,0.0,relu
400,0.24977095,0.0,relu
400,0.3009308,0.0,relu
400,0.32808843,0.0,relu
400,0.31365505,0.0,relu
400,0.2847994,0.0,relu
400,0.2731861,0.0,relu
400,0.3383494,0.0,relu
400,0.2683897,0.0,relu
400,0.2050985,0.0,relu
400,0.32340533,0.0,relu
800,0.27764565,0.0,relu
800,0.25415036,0.0,relu
800,0.2765811,0.0,relu
800,0.21307881,0.0,relu
800,0.28921205,0.0,relu
800,0.30271244,0.0,relu
800,0.3158699,0.0,relu
800,0.30497012,0.0,relu
800,0.27368504,0.0,relu
800,0.33644795,0.0,relu
1600,0.23752478,0.0,relu
1600,0.18555653,0.0,relu
1600,0.22673608,0.0,relu
1600,0.28064644,0.0,relu
1600,0.2578461,0.0,relu
1600,0.31093606,0.0,relu
1600,0.2736196,0.0,relu
1600,0.26188833,0.0,relu
1600,0.28142092,0.0,relu
1600,0.2122951,0.0,relu
3200,0.24959245,0.0,relu
3200,0.29909304,0.0,relu
3200,0.23605949,0.0,relu
3200,0.2660266,0.0,relu
3200,0.2703459,0.0,relu
3200,0.286711,0.0,relu
3200,0.23674215,0.0,relu
3200,0.26907983,0.0,relu
3200,0.25882548,0.0,relu
3200,0.25910586,0.0,relu
6400,0.21479736,0.0,relu
6400,0.2669482,0.0,relu
6400,0.26199484,0.0,relu
6400,0.21370392,0.0,relu
6400,0.27824035,0.0,relu
6400,0.3144481,0.0,relu
6400,0.22960788,0.0,relu
6400,0.26477486,0.0,relu
6400,0.22143036,0.0,relu
6400,0.23710863,0.0,relu
12800,0.25624007,0.0,relu
12800,0.26064888,0.0,relu
12800,0.26649687,0.0,relu
12800,0.24014549,0.0,relu
12800,0.23975411,0.0,relu
12800,0.25485608,0.0,relu
12800,0.22775713,0.0,relu
12800,0.22188126,0.0,relu
12800,0.27579373,0.0,relu
12800,0.24809906,0.0,relu
200,0.53245443,0.5,relu
200,0.56670314,0.5,relu
200,0.5017385,0.5,relu
200,0.52260554,0.5,relu
200,0.60670745,0.5,relu
200,0.49524182,0.5,relu
200,0.47297785,0.5,relu
200,0.51645815,0.5,relu
200,0.52172816,0.5,relu
200,0.5842972,0.5,relu
400,0.5540046,0.5,relu
400,0.54990524,0.5,relu
400,0.5614283,0.5,relu
400,0.51573706,0.5,relu
400,0.47608534,0.5,relu
400,0.46981874,0.5,relu
400,0.49448502,0.5,relu
400,0.54263073,0.5,relu
400,0.5126964,0.5,relu
400,0.44198778,0.5,relu
800,0.4869096,0.5,relu
800,0.5419128,0.5,relu
800,0.50631475,0.5,relu
800,0.5324022,0.5,relu
800,0.5100072,0.5,relu
800,0.50457466,0.5,relu
800,0.4579852,0.5,relu
800,0.47444102,0.5,relu
800,0.56150085,0.5,relu
800,0.50634325,0.5,relu
1600,0.50524116,0.5,relu
1600,0.52689683,0.5,relu
1600,0.5249934,0.5,relu
1600,0.47862583,0.5,relu
1600,0.5394998,0.5,relu
1600,0.5303493,0.5,relu
1600,0.47963384,0.5,relu
1600,0.4310463,0.5,relu
1600,0.53566957,0.5,relu
1600,0.52114433,0.5,relu
3200,0.5087233,0.5,relu
3200,0.5201292,0.5,relu
3200,0.49619502,0.5,relu
