$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
1600,0.0683719,0.0,relu
1600,0.021607198,0.0,relu
1600,0.0037499433,0.0,relu
6400,0.023678327,0.0,relu
6400,1.9914454e-05,0.0,relu
6400,-0.0016070703,0.0,relu
12800,-0.0047103837,0.0,relu
12800,0.0011487779,0.0,relu
12800,0.0016898102,0.0,relu
1600,0.2924111,0.5,relu
1600,0.2834517,0.5,relu
1600,0.31121182,0.5,relu
6400,0.36171257,0.5,relu
6400,0.43348283,0.5,relu
6400,0.3882955,0.5,relu
12800,0.39397612,0.5,relu
12800,0.34993392,0.5,relu
12800,0.4421613,0.5,relu
1600,0.5370036,1.0,relu
1600,0.52297556,1.0,relu
1600,0.56950384,1.0,relu
6400,0.5737431,1.0,relu
6400,0.61653686,1.0,relu
6400,0.6265738,1.0,relu
12800,0.5883682,1.0,relu
12800,0.6025162,1.0,relu
12800,0.55720353,1.0,relu
1600,0.6434288,2.0,relu
1600,0.6811746,2.0,relu
1600,0.6657777,2.0,relu
6400,0.6505294,2.0,relu
6400,0.6143583,2.0,relu
6400,0.6530876,2.0,relu
12800,0.6443237,2.0,relu
12800,0.7038673,2.0,relu
12800,0.5948819,2.0,relu
