$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
800,0.30747506,0.0,sigmoid
800,0.26589504,0.0,sigmoid
800,0.26544407,0.0,sigmoid
1600,0.29451007,0.0,sigmoid
1600,0.3130134,0.0,sigmoid
1600,0.31861636,0.0,sigmoid
800,0.4353113,0.5,sigmoid
800,0.3663287,0.5,sigmoid
800,0.36083567,0.5,sigmoid
1600,0.3070546,0.5,sigmoid
1600,0.3537944,0.5,sigmoid
1600,0.3187013,0.5,sigmoid
800,0.4742411,0.7,sigmoid
800,0.52277,0.7,sigmoid
800,0.4872747,0.7,sigmoid
1600,0.38469565,0.7,sigmoid
1600,0.4127981,0.7,sigmoid
1600,0.3199063,0.7,sigmoid
800,0.63542014,0.9,sigmoid
800,0.59807336,0.9,sigmoid
800,0.5906205,0.9,sigmoid
1600,0.5026979,0.9,sigmoid
1600,0.54457325,0.9,sigmoid
1600,0.5150782,0.9,sigmoid
