$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.17680186,0.0,sigmoid
200,0.2208159,0.0,sigmoid
800,0.18351142,0.0,sigmoid
800,0.06772379,0.0,sigmoid
3200,0.035499487,0.0,sigmoid
3200,0.046756994,0.0,sigmoid
12800,0.02330989,0.0,sigmoid
12800,0.023420887,0.0,sigmoid
200,0.6927385,0.5,sigmoid
200,0.622392,0.5,sigmoid
800,0.6223307,0.5,sigmoid
800,0.62721896,0.5,sigmoid
3200,0.56209445,0.5,sigmoid
3200,0.6269329,0.5,sigmoid
12800,0.029820569,0.5,sigmoid
12800,0.020269193,0.5,sigmoid
200,0.7330815,0.7,sigmoid
200,0.7113606,0.7,sigmoid
800,0.6261948,0.7,sigmoid
800,0.51002944,0.7,sigmoid
3200,0.61319333,0.7,sigmoid
3200,0.5700028,0.7,sigmoid
12800,0.5221155,0.7,sigmoid
12800,0.038662035,0.7,sigmoid
200,0.7621165,0.9,sigmoid
200,0.6491653,0.9,sigmoid
800,0.7094325,0.9,sigmoid
800,0.6641124,0.9,sigmoid
3200,0.6654063,0.9,sigmoid
3200,0.6665872,0.9,sigmoid
12800,0.47898105,0.9,sigmoid
12800,0.5601128,0.9,sigmoid
