$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
1000,0.36869225,0.0,sigmoid
1000,0.2469422,0.0,sigmoid
1000,0.3648781,0.0,sigmoid
1200,0.33084476,0.0,sigmoid
1200,0.33617127,0.0,sigmoid
1200,0.3085417,0.0,sigmoid
1000,0.48660856,0.005,sigmoid
1000,0.5483577,0.005,sigmoid
1000,0.5569366,0.005,sigmoid
1200,0.53158844,0.005,sigmoid
1200,0.5182637,0.005,sigmoid
1200,0.51987535,0.005,sigmoid
1000,0.6240124,0.01,sigmoid
1000,0.5897852,0.01,sigmoid
1000,0.56502163,0.01,sigmoid
1200,0.6033388,0.01,sigmoid
1200,0.6228013,0.01,sigmoid
1200,0.6009276,0.01,sigmoid
1000,0.6182454,0.1,sigmoid
1000,0.6335003,0.1,sigmoid
1000,0.66397035,0.1,sigmoid
1200,0.69181806,0.1,sigmoid
1200,0.6590915,0.1,sigmoid
1200,0.6669926,0.1,sigmoid
