$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.25707686,0.0,sigmoid
200,0.32195827,0.0,sigmoid
200,0.2544214,0.0,sigmoid
2400,0.059610195,0.0,sigmoid
2400,0.042979002,0.0,sigmoid
2400,0.057812497,0.0,sigmoid
12800,0.014000314,0.0,sigmoid
12800,0.0010139807,0.0,sigmoid
12800,0.0145913875,0.0,sigmoid
200,0.47468296,0.003,sigmoid
200,0.44724235,0.003,sigmoid
200,0.49636585,0.003,sigmoid
2400,0.5805069,0.003,sigmoid
2400,0.5777683,0.003,sigmoid
2400,0.5481821,0.003,sigmoid
12800,0.57420224,0.003,sigmoid
12800,0.60546863,0.003,sigmoid
12800,0.5656324,0.003,sigmoid
200,0.60608476,0.005,sigmoid
200,0.5803512,0.005,sigmoid
200,0.5603948,0.005,sigmoid
2400,0.64485407,0.005,sigmoid
2400,0.64044535,0.005,sigmoid
2400,0.6513187,0.005,sigmoid
12800,0.63118637,0.005,sigmoid
12800,0.6508618,0.005,sigmoid
12800,0.6238446,0.005,sigmoid
200,0.60294527,0.01,sigmoid
200,0.59888643,0.01,sigmoid
200,0.5676347,0.01,sigmoid
2400,0.64603627,0.01,sigmoid
2400,0.6556551,0.01,sigmoid
2400,0.64465797,0.01,sigmoid
12800,0.61202276,0.01,sigmoid
12800,0.65257555,0.01,sigmoid
12800,0.6598722,0.01,sigmoid
