$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.24603271,0.0,sigmoid
200,0.30360994,0.0,sigmoid
200,0.2468927,0.0,sigmoid
2400,0.04828919,0.0,sigmoid
2400,0.033739544,0.0,sigmoid
2400,0.063359186,0.0,sigmoid
12800,0.009175265,0.0,sigmoid
12800,0.022375342,0.0,sigmoid
12800,0.010470658,0.0,sigmoid
200,0.47855058,0.003,sigmoid
200,0.531579,0.003,sigmoid
200,0.5687089,0.003,sigmoid
2400,0.13624631,0.003,sigmoid
2400,0.13780756,0.003,sigmoid
2400,0.19500194,0.003,sigmoid
12800,0.034563906,0.003,sigmoid
12800,0.033714663,0.003,sigmoid
12800,0.035420336,0.003,sigmoid
200,0.54354185,0.005,sigmoid
200,0.6834899,0.005,sigmoid
200,0.53863484,0.005,sigmoid
2400,0.27823517,0.005,sigmoid
2400,0.25828174,0.005,sigmoid
2400,0.33801082,0.005,sigmoid
12800,0.094697304,0.005,sigmoid
12800,0.07444136,0.005,sigmoid
12800,0.13475655,0.005,sigmoid
200,0.56579477,0.01,sigmoid
200,0.65009433,0.01,sigmoid
200,0.6374319,0.01,sigmoid
2400,0.44285485,0.01,sigmoid
2400,0.4796444,0.01,sigmoid
2400,0.46245462,0.01,sigmoid
12800,0.26973227,0.01,sigmoid
12800,0.31176722,0.01,sigmoid
12800,0.32808185,0.01,sigmoid
