$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.3272525,0.0,tanh
200,0.2822669,0.0,tanh
200,0.158176,0.0,tanh
200,0.25272965,0.0,tanh
200,0.25882334,0.0,tanh
200,0.2734789,0.0,tanh
200,0.27512503,0.0,tanh
200,0.28435498,0.0,tanh
200,0.20531368,0.0,tanh
200,0.1952477,0.0,tanh
200,0.35442314,0.0,tanh
200,0.33935484,0.0,tanh
200,0.19930294,0.0,tanh
200,0.25986138,0.0,tanh
200,0.17007542,0.0,tanh
2400,0.07943273,0.0,tanh
2400,0.033895187,0.0,tanh
2400,0.10488374,0.0,tanh
2400,0.04091943,0.0,tanh
2400,0.048146416,0.0,tanh
2400,0.04761629,0.0,tanh
2400,0.07946514,0.0,tanh
2400,0.035502985,0.0,tanh
2400,0.06010202,0.0,tanh
2400,0.06065728,0.0,tanh
2400,0.07004769,0.0,tanh
2400,0.05180078,0.0,tanh
2400,0.052840285,0.0,tanh
2400,0.031224214,0.0,tanh
2400,0.046931107,0.0,tanh
12800,0.015186038,0.0,tanh
12800,0.0069789523,0.0,tanh
12800,0.026047276,0.0,tanh
12800,0.014444091,0.0,tanh
12800,0.023761451,0.0,tanh
12800,0.033452198,0.0,tanh
12800,0.02322581,0.0,tanh
12800,0.020133292,0.0,tanh
12800,0.021824606,0.0,tanh
12800,0.016946506,0.0,tanh
12800,0.015368041,0.0,tanh
12800,0.029041592,0.0,tanh
12800,0.019763574,0.0,tanh
12800,0.0036907557,0.0,tanh
12800,0.01258633,0.0,tanh
200,0.5936622,0.5,tanh
200,0.5604699,0.5,tanh
200,0.5561045,0.5,tanh
200,0.54482305,0.5,tanh
200,0.573895,0.5,tanh
200,0.59094286,0.5,tanh
200,0.49074385,0.5,tanh
200,0.57556653,0.5,tanh
200,0.57509404,0.5,tanh
200,0.5718005,0.5,tanh
200,0.57082397,0.5,tanh
200,0.54225713,0.5,tanh
200,0.6096906,0.5,tanh
200,0.59289753,0.5,tanh
200,0.6400788,0.5,tanh
2400,0.5305102,0.5,tanh
2400,0.4818101,0.5,tanh
2400,0.47689056,0.5,tanh
2400,0.46964958,0.5,tanh
2400,0.47993797,0.5,tanh
2400,0.5229296,0.5,tanh
2400,0.500147,0.5,tanh
2400,0.4916621,0.5,tanh
2400,0.4813396,0.5,tanh
2400,0.52572745,0.5,tanh
2400,0.5070308,0.5,tanh
2400,0.46537825,0.5,tanh
