$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.2109958,0.0,tanh
200,0.25451434,0.0,tanh
200,0.30399883,0.0,tanh
200,0.18900293,0.0,tanh
200,0.2768652,0.0,tanh
200,0.37944832,0.0,tanh
200,0.3152575,0.0,tanh
200,0.28495374,0.0,tanh
200,0.21580364,0.0,tanh
200,0.14807811,0.0,tanh
200,0.20523489,0.0,tanh
200,0.32358795,0.0,tanh
200,0.26927054,0.0,tanh
200,0.33615288,0.0,tanh
200,0.29145592,0.0,tanh
200,0.261212,0.0,tanh
200,0.16410019,0.0,tanh
200,0.27837014,0.0,tanh
200,0.20175166,0.0,tanh
200,0.32832852,0.0,tanh
200,0.27832803,0.0,tanh
200,0.254209,0.0,tanh
200,0.19757369,0.0,tanh
200,0.19530672,0.0,tanh
200,0.29024136,0.0,tanh
200,0.2551023,0.0,tanh
200,0.34676898,0.0,tanh
200,0.29848748,0.0,tanh
200,0.1635486,0.0,tanh
200,0.2362771,0.0,tanh
200,0.27169067,0.0,tanh
200,0.250335,0.0,tanh
200,0.36385068,0.0,tanh
200,0.3345972,0.0,tanh
200,0.30419636,0.0,tanh
200,0.26396668,0.0,tanh
200,0.2873979,0.0,tanh
200,0.17343822,0.0,tanh
200,0.25222638,0.0,tanh
200,0.16708604,0.0,tanh
200,0.25789136,0.0,tanh
200,0.3032468,0.0,tanh
200,0.32135227,0.0,tanh
200,0.24706729,0.0,tanh
200,0.2018112,0.0,tanh
200,0.25722012,0.0,tanh
200,0.25057033,0.0,tanh
200,0.289174,0.0,tanh
200,0.24425034,0.0,tanh
200,0.21261601,0.0,tanh
400,0.11580268,0.0,tanh
400,0.18466707,0.0,tanh
400,0.16865417,0.0,tanh
400,0.16315842,0.0,tanh
400,0.17107314,0.0,tanh
400,0.16948785,0.0,tanh
400,0.15249646,0.0,tanh
400,0.1908306,0.0,tanh
400,0.0948474,0.0,tanh
400,0.17715955,0.0,tanh
400,0.12637217,0.0,tanh
400,0.20637606,0.0,tanh
400,0.19977753,0.0,tanh
400,0.23897326,0.0,tanh
400,0.15398385,0.0,tanh
400,0.16976357,0.0,tanh
400,0.20273958,0.0,tanh
400,0.1358118,0.0,tanh
400,0.17920105,0.0,tanh
400,0.271841,0.0,tanh
400,0.25652727,0.0,tanh
400,0.14898354,0.0,tanh
400,0.17723256,0.0,tanh
400,0.1111473,0.0,tanh
400,0.21557146,0.0,tanh
400,0.24887802,0.0,tanh
400,0.19462505,0.0,tanh
400,0.18881725,0.0,tanh
400,0.18018305,0.0,tanh
400,0.16188996,0.0,tanh
400,0.19639008,0.0,tanh
400,0.19389728,0.0,tanh
400,0.17168012,0.0,tanh
400,0.1932117,0.0,tanh
400,0.12851897,0.0,tanh
400,0.17661597,0.0,tanh
400,0.14625838,0.0,tanh
400,0.16978988,0.0,tanh
400,0.14957826,0.0,tanh
400,0.1125898,0.0,tanh
400,0.19252098,0.0,tanh
400,0.09359198,0.0,tanh
400,0.15889768,0.0,tanh
400,0.17497025,0.0,tanh
400,0.15856403,0.0,tanh
400,0.14153387,0.0,tanh
400,0.14930378,0.0,tanh
400,0.15414512,0.0,tanh
400,0.29075512,0.0,tanh
400,0.16509226,0.0,tanh
800,0.06514674,0.0,tanh
800,0.098892175,0.0,tanh
800,0.13046248,0.0,tanh
800,0.09456149,0.0,tanh
800,0.113845795,0.0,tanh
800,0.04097984,0.0,tanh
800,0.13658129,0.0,tanh
800,0.12132156,0.0,tanh
800,0.06640208,0.0,tanh
800,0.084069006,0.0,tanh
800,0.10708952,0.0,tanh
800,0.10566169,0.0,tanh
800,0.16459833,0.0,tanh
800,0.069353886,0.0,tanh
