$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
5000,0.26202714,0.0,relu
5000,0.22470286,0.0,relu
5000,0.22770815,0.0,relu
5000,0.23895119,0.0,relu
5000,0.26269943,0.0,relu
5000,0.30068964,0.0,relu
5000,0.26217955,0.0,relu
5000,0.23199858,0.0,relu
5000,0.23489572,0.0,relu
5000,0.2543172,0.0,relu
5100,0.24084164,0.0,relu
5100,0.28627124,0.0,relu
5100,0.2091508,0.0,relu
5100,0.25119075,0.0,relu
5100,0.24539976,0.0,relu
5100,0.29453242,0.0,relu
5100,0.22457342,0.0,relu
5100,0.25873685,0.0,relu
5100,0.2518519,0.0,relu
5100,0.2871087,0.0,relu
5200,0.23567615,0.0,relu
5200,0.28403,0.0,relu
5200,0.27301884,0.0,relu
5200,0.26103333,0.0,relu
5200,0.26093367,0.0,relu
5200,0.28541493,0.0,relu
5200,0.25369334,0.0,relu
5200,0.27158886,0.0,relu
5200,0.24910818,0.0,relu
5200,0.24589975,0.0,relu
5300,0.20324157,0.0,relu
5300,0.26784444,0.0,relu
5300,0.31515333,0.0,relu
5300,0.21627122,0.0,relu
5300,0.21715918,0.0,relu
5300,0.26233166,0.0,relu
5300,0.31052274,0.0,relu
5300,0.31019905,0.0,relu
5300,0.253337,0.0,relu
5300,0.3107691,0.0,relu
5400,0.31273115,0.0,relu
5400,0.2953067,0.0,relu
5400,0.30121842,0.0,relu
5400,0.22198866,0.0,relu
5400,0.23897573,0.0,relu
5400,0.27054468,0.0,relu
5400,0.21039803,0.0,relu
5400,0.26834294,0.0,relu
5400,0.24614625,0.0,relu
5400,0.30447647,0.0,relu
5500,0.27775973,0.0,relu
5500,0.30964372,0.0,relu
5500,0.30126268,0.0,relu
5500,0.26883143,0.0,relu
5500,0.28339744,0.0,relu
5500,0.2763113,0.0,relu
5500,0.22818802,0.0,relu
5500,0.2572188,0.0,relu
5500,0.24671267,0.0,relu
5500,0.29814553,0.0,relu
5600,0.27030745,0.0,relu
5600,0.2807146,0.0,relu
5600,0.24822752,0.0,relu
5600,0.24603714,0.0,relu
5600,0.24754608,0.0,relu
