$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
5000,0.24129792,0.0,relu
5000,0.23067342,0.0,relu
5000,0.28511298,0.0,relu
5000,0.21998052,0.0,relu
5000,0.26668963,0.0,relu
5000,0.2718931,0.0,relu
5000,0.24459209,0.0,relu
5000,0.22267415,0.0,relu
5000,0.2307326,0.0,relu
5000,0.27157623,0.0,relu
5100,0.30424505,0.0,relu
5100,0.26056102,0.0,relu
5100,0.25910133,0.0,relu
5100,0.2258297,0.0,relu
5100,0.33007663,0.0,relu
5100,0.2721251,0.0,relu
5100,0.26405194,0.0,relu
5100,0.2726411,0.0,relu
5100,0.2532868,0.0,relu
5100,0.3033546,0.0,relu
5200,0.20106007,0.0,relu
5200,0.2518587,0.0,relu
5200,0.31200495,0.0,relu
5200,0.231191,0.0,relu
5200,0.22081804,0.0,relu
5200,0.2533195,0.0,relu
5200,0.22672297,0.0,relu
5200,0.26515305,0.0,relu
5200,0.2914868,0.0,relu
5200,0.2587006,0.0,relu
5300,0.3091989,0.0,relu
5300,0.2766794,0.0,relu
5300,0.24784595,0.0,relu
5300,0.2896542,0.0,relu
5300,0.25081328,0.0,relu
5300,0.288274,0.0,relu
5300,0.24722908,0.0,relu
5300,0.26807788,0.0,relu
5300,0.2004436,0.0,relu
5300,0.24108768,0.0,relu
5400,0.30742902,0.0,relu
5400,0.23873371,0.0,relu
5400,0.24107695,0.0,relu
5400,0.2761977,0.0,relu
5400,0.27883014,0.0,relu
5400,0.2600064,0.0,relu
5400,0.27076012,0.0,relu
5400,0.27991426,0.0,relu
5400,0.27890044,0.0,relu
5400,0.27109805,0.0,relu
5500,0.26741236,0.0,relu
5500,0.26281288,0.0,relu
5500,0.24009427,0.0,relu
5500,0.3156533,0.0,relu
5500,0.23090148,0.0,relu
5500,0.25316522,0.0,relu
5500,0.23454636,0.0,relu
5500,0.23437712,0.0,relu
5500,0.27170157,0.0,relu
5500,0.2164294,0.0,relu
5600,0.27189514,0.0,relu
5600,0.2619372,0.0,relu
5600,0.23788726,0.0,relu
5600,0.24367666,0.0,relu
5600,0.2761046,0.0,relu
5600,0.2787397,0.0,relu
5600,0.31921485,0.0,relu
5600,0.24804735,0.0,relu
5600,0.25439203,0.0,relu
5600,0.26644146,0.0,relu
5700,0.24897747,0.0,relu
5700,0.26738223,0.0,relu
5700,0.24650662,0.0,relu
5700,0.28933212,0.0,relu
5700,0.26893112,0.0,relu
5700,0.27719966,0.0,relu
5700,0.25765792,0.0,relu
5700,0.2203067,0.0,relu
5700,0.23657782,0.0,relu
5700,0.29250264,0.0,relu
5800,0.22998762,0.0,relu
5800,0.28232524,0.0,relu
5800,0.25182965,0.0,relu
5800,0.24770279,0.0,relu
5800,0.24341527,0.0,relu
5800,0.26163757,0.0,relu
5800,0.26937634,0.0,relu
5800,0.2651954,0.0,relu
5800,0.21556292,0.0,relu
5800,0.27854577,0.0,relu
5900,0.27350023,0.0,relu
5900,0.29265186,0.0,relu
5900,0.24651586,0.0,relu
5900,0.24263246,0.0,relu
5900,0.29505825,0.0,relu
5900,0.26447594,0.0,relu
5900,0.22870415,0.0,relu
5900,0.26750252,0.0,relu
5900,0.27508128,0.0,relu
5900,0.27270293,0.0,relu
6000,0.26068762,0.0,relu
6000,0.22809328,0.0,relu
6000,0.2360164,0.0,relu
6000,0.2942896,0.0,relu
6000,0.293311,0.0,relu
6000,0.27262342,0.0,relu
6000,0.23274158,0.0,relu
6000,0.24397348,0.0,relu
6000,0.23252885,0.0,relu
6000,0.266053,0.0,relu
6100,0.3050887,0.0,relu
6100,0.27819365,0.0,relu
6100,0.20233402,0.0,relu
6100,0.27969438,0.0,relu
6100,0.3004086,0.0,relu
6100,0.24253015,0.0,relu
6100,0.23702735,0.0,relu
6100,0.26660696,0.0,relu
6100,0.24676995,0.0,relu
6100,0.23043913,0.0,relu
6200,0.27548385,0.0,relu
6200,0.28350016,0.0,relu
6200,0.27528164,0.0,relu
6200,0.25565153,0.0,relu
6200,0.26242554,0.0,relu
6200,0.24386245,0.0,relu
6200,0.2600832,0.0,relu
6200,0.27061456,0.0,relu
6200,0.20405065,0.0,relu
6200,0.30769885,0.0,relu
6300,0.2574341,0.0,relu
6300,0.288163,0.0,relu
6300,0.26828262,0.0,relu
6300,0.24596155,0.0,relu
6300,0.26021826,0.0,relu
6300,0.29663065,0.0,relu
6300,0.2760044,0.0,relu
6300,0.25554928,0.0,relu
6300,0.30575445,0.0,relu
6300,0.24622314,0.0,relu
6400,0.23643681,0.0,relu
6400,0.24702755,0.0,relu
6400,0.2398735,0.0,relu
6400,0.2836407,0.0,relu
6400,0.20209812,0.0,relu
6400,0.2538906,0.0,relu
6400,0.27502227,0.0,relu
6400,0.20546053,0.0,relu
6400,0.26076835,0.0,relu
6400,0.2198101,0.0,relu
6500,0.24871954,0.0,relu
6500,0.30681115,0.0,relu
6500,0.27625325,0.0,relu
6500,0.21366303,0.0,relu
6500,0.28085145,0.0,relu
6500,0.27417988,0.0,relu
6500,0.276203,0.0,relu
6500,0.22267644,0.0,relu
6500,0.28747058,0.0,relu
6500,0.24609084,0.0,relu
6600,0.24688555,0.0,relu
6600,0.25150633,0.0,relu
6600,0.26892832,0.0,relu
6600,0.25374392,0.0,relu
6600,0.24761039,0.0,relu
6600,0.28229612,0.0,relu
6600,0.27959135,0.0,relu
6600,0.2514167,0.0,relu
6600,0.22236623,0.0,relu
6600,0.26742774,0.0,relu
6700,0.2543166,0.0,relu
6700,0.27379528,0.0,relu
6700,0.25606906,0.0,relu
6700,0.2642413,0.0,relu
6700,0.28092813,0.0,relu
6700,0.23851088,0.0,relu
6700,0.24084258,0.0,relu
6700,0.29505563,0.0,relu
6700,0.26212478,0.0,relu
6700,0.21876106,0.0,relu
6800,0.25882056,0.0,relu
6800,0.26841494,0.0,relu
