$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
5000,0.000843949,0,non
5000,-0.003140035,0,non
5000,0.0047716103,0,non
5000,0.014298702,0,non
5000,0.007243452,0,non
5000,0.02012157,0,non
5000,-0.0052451086,0,non
5000,0.014472239,0,non
5000,0.0057931505,0,non
5000,0.020404944,0,non
5100,0.04184,0,non
5100,0.014477932,0,non
5100,0.005223052,0,non
5100,0.023885053,0,non
5100,0.01489811,0,non
5100,0.020970814,0,non
5100,0.01709039,0,non
5100,-0.010563071,0,non
5100,0.01137329,0,non
5100,0.015414638,0,non
5200,0.0052192803,0,non
5200,0.014685838,0,non
5200,0.044843838,0,non
5200,0.021479143,0,non
5200,-0.011511922,0,non
5200,-0.0010441374,0,non
5200,-0.010467668,0,non
5200,0.023372633,0,non
5200,-0.0027137448,0,non
5200,0.022103047,0,non
5300,0.009982992,0,non
5300,-0.00041376447,0,non
5300,0.033447627,0,non
5300,0.008142847,0,non
5300,0.019339569,0,non
5300,0.002227182,0,non
5300,0.029192388,0,non
5300,0.0100279655,0,non
5300,0.004486304,0,non
5300,0.009228493,0,non
5400,0.019851223,0,non
5400,-0.00019477238,0,non
5400,0.0020445604,0,non
5400,-0.00733921,0,non
5400,0.022708604,0,non
5400,-0.016915837,0,non
5400,0.016926775,0,non
5400,0.002838643,0,non
5400,0.0062590535,0,non
5400,0.00069049,0,non
5500,0.0025308107,0,non
5500,0.024507707,0,non
5500,0.035068676,0,non
5500,0.016748922,0,non
5500,0.0008551218,0,non
5500,-0.003289151,0,non
5500,-0.002915037,0,non
5500,0.0096990345,0,non
5500,0.03563816,0,non
5500,0.009479571,0,non
5600,0.008940693,0,non
5600,-0.015306367,0,non
5600,-0.0017071876,0,non
5600,-0.006416231,0,non
5600,0.01737705,0,non
5600,-0.004122179,0,non
5600,0.0005397535,0,non
5600,-0.02569906,0,non
5600,0.030812413,0,non
5600,0.013343397,0,non
5700,0.028792044,0,non
5700,-0.002385052,0,non
5700,0.0060007786,0,non
5700,0.011136322,0,non
5700,0.0018516445,0,non
5700,-0.029156506,0,non
5700,-0.0067637768,0,non
5700,-0.008583703,0,non
5700,-0.011880425,0,non
5700,0.005371976,0,non
5800,0.019580707,0,non
5800,0.0028415467,0,non
5800,0.0069995876,0,non
5800,0.019019544,0,non
5800,0.013381742,0,non
5800,0.024446022,0,non
5800,0.004556203,0,non
5800,-0.012480011,0,non
5800,0.00061554636,0,non
5800,0.016195565,0,non
5900,0.019813115,0,non
5900,0.031528756,0,non
5900,0.012607592,0,non
5900,0.01506062,0,non
5900,-0.0018449122,0,non
5900,0.0013185553,0,non
5900,0.020252535,0,non
5900,0.00038969985,0,non
5900,0.011691279,0,non
5900,0.008709859,0,non
6000,-0.002485749,0,non
6000,0.014904362,0,non
6000,0.019208413,0,non
6000,-0.016934734,0,non
6000,-0.013551205,0,non
6000,0.017716013,0,non
6000,0.02737241,0,non
6000,0.008157953,0,non
6000,0.02084584,0,non
6000,0.04240908,0,non
6100,-0.01421986,0,non
6100,0.014414765,0,non
6100,0.0073896344,0,non
6100,-0.0036253806,0,non
6100,-0.010079757,0,non
6100,0.009156728,0,non
6100,0.020579418,0,non
6100,0.023729363,0,non
6100,0.0055274935,0,non
6100,0.018077059,0,non
6200,0.013613692,0,non
6200,0.006915574,0,non
6200,0.047650926,0,non
6200,0.004255883,0,non
6200,0.008426404,0,non
6200,0.018122092,0,non
6200,0.013113885,0,non
6200,-0.0067348005,0,non
6200,0.014612421,0,non
6200,1.0255033e-05,0,non
6300,0.0024227714,0,non
6300,0.0013686691,0,non
6300,0.027578004,0,non
6300,0.008028379,0,non
6300,0.00951851,0,non
6300,0.0063283755,0,non
6300,0.0074414345,0,non
6300,-0.018934537,0,non
6300,0.034829237,0,non
6300,0.010235017,0,non
6400,0.021465326,0,non
6400,0.033857565,0,non
6400,0.005863821,0,non
6400,0.023514146,0,non
6400,0.013286911,0,non
6400,0.0108385375,0,non
6400,0.0053120824,0,non
6400,-0.0015600191,0,non
6400,0.019769829,0,non
6400,0.009002202,0,non
6500,0.026745364,0,non
6500,0.03535022,0,non
6500,-0.004675103,0,non
6500,-0.00061687967,0,non
6500,-0.015956532,0,non
6500,0.014039065,0,non
6500,0.02231117,0,non
6500,0.005906931,0,non
6500,0.0026986967,0,non
6500,-0.0024974858,0,non
6600,-0.01295736,0,non
6600,0.011333399,0,non
6600,0.0034759927,0,non
6600,0.020976925,0,non
6600,0.0016141278,0,non
6600,0.02347863,0,non
