$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
5000,0.22515237,0.0,relu
5000,0.21824346,0.0,relu
5100,0.22571938,0.0,relu
5100,0.28600353,0.0,relu
5200,0.28753147,0.0,relu
5200,0.25721496,0.0,relu
5300,0.24774396,0.0,relu
5300,0.275836,0.0,relu
5400,0.27192596,0.0,relu
5400,0.25132284,0.0,relu
5500,0.2326262,0.0,relu
5500,0.26693133,0.0,relu
5600,0.24534608,0.0,relu
5600,0.24531978,0.0,relu
5700,0.24406376,0.0,relu
5700,0.23473257,0.0,relu
5800,0.21604736,0.0,relu
5800,0.27126557,0.0,relu
5900,0.18563336,0.0,relu
5900,0.2304328,0.0,relu
6000,0.20258008,0.0,relu
6000,0.27628663,0.0,relu
6100,0.24234217,0.0,relu
6100,0.21302608,0.0,relu
6200,0.22566177,0.0,relu
6200,0.2805768,0.0,relu
6300,0.2695244,0.0,relu
6300,0.29145277,0.0,relu
6400,0.23783451,0.0,relu
6400,0.24274433,0.0,relu
6500,0.24854198,0.0,relu
6500,0.25249177,0.0,relu
6600,0.2775368,0.0,relu
6600,0.2791742,0.0,relu
6700,0.28002787,0.0,relu
6700,0.26694807,0.0,relu
6800,0.21643507,0.0,relu
6800,0.3296956,0.0,relu
6900,0.24137191,0.0,relu
6900,0.29750854,0.0,relu
7000,0.2535273,0.0,relu
7000,0.26674822,0.0,relu
7100,0.28040972,0.0,relu
7100,0.2658574,0.0,relu
7200,0.21118264,0.0,relu
7200,0.24791619,0.0,relu
7300,0.27876595,0.0,relu
7300,0.2742709,0.0,relu
7400,0.30558524,0.0,relu
7400,0.2830234,0.0,relu
7500,0.18450826,0.0,relu
7500,0.28553677,0.0,relu
7600,0.24587022,0.0,relu
7600,0.25214744,0.0,relu
7700,0.25574037,0.0,relu
7700,0.272164,0.0,relu
7800,0.27952623,0.0,relu
7800,0.27044588,0.0,relu
7900,0.25492945,0.0,relu
7900,0.25055906,0.0,relu
8000,0.27884266,0.0,relu
8000,0.2460235,0.0,relu
8100,0.23199445,0.0,relu
8100,0.28795034,0.0,relu
8200,0.28523508,0.0,relu
8200,0.2801263,0.0,relu
8300,0.25757074,0.0,relu
8300,0.24296589,0.0,relu
8400,0.2653086,0.0,relu
8400,0.21239369,0.0,relu
8500,0.27384245,0.0,relu
8500,0.2013307,0.0,relu
8600,0.22153218,0.0,relu
8600,0.2662947,0.0,relu
8700,0.24945989,0.0,relu
8700,0.27213198,0.0,relu
8800,0.28227612,0.0,relu
8800,0.25440475,0.0,relu
8900,0.2802257,0.0,relu
8900,0.2340632,0.0,relu
9000,0.24586971,0.0,relu
9000,0.19614908,0.0,relu
9100,0.32673785,0.0,relu
9100,0.25434583,0.0,relu
9200,0.23468357,0.0,relu
9200,0.2546858,0.0,relu
9300,0.22600105,0.0,relu
9300,0.2761244,0.0,relu
9400,0.2976315,0.0,relu
9400,0.26466995,0.0,relu
9500,0.27032202,0.0,relu
9500,0.19799376,0.0,relu
9600,0.250158,0.0,relu
9600,0.24147244,0.0,relu
9700,0.29624647,0.0,relu
9700,0.26266253,0.0,relu
9800,0.30220824,0.0,relu
9800,0.28184733,0.0,relu
9900,0.3100374,0.0,relu
9900,0.23109819,0.0,relu
10000,0.2869485,0.0,relu
10000,0.2646885,0.0,relu
5000,0.2786222,0.3,relu
5000,0.30918625,0.3,relu
5100,0.28347844,0.3,relu
5100,0.27891746,0.3,relu
5200,0.23534285,0.3,relu
5200,0.2682627,0.3,relu
5300,0.27678648,0.3,relu
5300,0.26805294,0.3,relu
5400,0.28615123,0.3,relu
5400,0.27339187,0.3,relu
5500,0.31081,0.3,relu
5500,0.26374713,0.3,relu
5600,0.32478842,0.3,relu
5600,0.2564023,0.3,relu
5700,0.31885138,0.3,relu
5700,0.27398595,0.3,relu
5800,0.29874778,0.3,relu
5800,0.25786713,0.3,relu
5900,0.30738792,0.3,relu
5900,0.30529636,0.3,relu
6000,0.29040006,0.3,relu
6000,0.3347587,0.3,relu
6100,0.2813628,0.3,relu
6100,0.23883568,0.3,relu
6200,0.25928766,0.3,relu
6200,0.2858216,0.3,relu
6300,0.24330543,0.3,relu
6300,0.2645911,0.3,relu
6400,0.28352135,0.3,relu
6400,0.24766992,0.3,relu
6500,0.2983108,0.3,relu
6500,0.27403283,0.3,relu
6600,0.29753295,0.3,relu
6600,0.22939241,0.3,relu
6700,0.28427234,0.3,relu
6700,0.28675142,0.3,relu
6800,0.23871852,0.3,relu
6800,0.33498022,0.3,relu
6900,0.2616339,0.3,relu
6900,0.24757737,0.3,relu
7000,0.25218698,0.3,relu
7000,0.26108968,0.3,relu
7100,0.28434774,0.3,relu
7100,0.26070696,0.3,relu
7200,0.24825339,0.3,relu
7200,0.30088973,0.3,relu
7300,0.29308277,0.3,relu
7300,0.27754873,0.3,relu
7400,0.279504,0.3,relu
7400,0.22764033,0.3,relu
7500,0.2680204,0.3,relu
7500,0.2644083,0.3,relu
7600,0.31047103,0.3,relu
7600,0.28494513,0.3,relu
7700,0.23925088,0.3,relu
7700,0.30242023,0.3,relu
7800,0.25070772,0.3,relu
7800,0.2574775,0.3,relu
7900,0.2630728,0.3,relu
7900,0.2862159,0.3,relu
8000,0.29581973,0.3,relu
8000,0.32383484,0.3,relu
8100,0.27659184,0.3,relu
8100,0.26593435,0.3,relu
8200,0.30071002,0.3,relu
8200,0.2919737,0.3,relu
8300,0.23490569,0.3,relu
8300,0.26663628,0.3,relu
8400,0.262763,0.3,relu
8400,0.27596712,0.3,relu
8500,0.30410147,0.3,relu
8500,0.27357116,0.3,relu
8600,0.29268086,0.3,relu
8600,0.26948547,0.3,relu
8700,0.24115334,0.3,relu
8700,0.28211853,0.3,relu
8800,0.29964676,0.3,relu
8800,0.30855784,0.3,relu
8900,0.250073,0.3,relu
8900,0.23513499,0.3,relu
9000,0.21858081,0.3,relu
9000,0.27976388,0.3,relu
9100,0.29005858,0.3,relu
9100,0.299165,0.3,relu
9200,0.2918262,0.3,relu
9200,0.23177084,0.3,relu
9300,0.26047215,0.3,relu
9300,0.26721078,0.3,relu
9400,0.24482101,0.3,relu
9400,0.2560493,0.3,relu
9500,0.29104638,0.3,relu
9500,0.25690693,0.3,relu
9600,0.28167245,0.3,relu
9600,0.27355346,0.3,relu
9700,0.2486328,0.3,relu
9700,0.27838853,0.3,relu
9800,0.28877565,0.3,relu
9800,0.28530383,0.3,relu
9900,0.2847244,0.3,relu
9900,0.24012572,0.3,relu
10000,0.29219323,0.3,relu
10000,0.26826024,0.3,relu
5000,0.328146,0.6,relu
5000,0.35010573,0.6,relu
5100,0.30376503,0.6,relu
5100,0.31924114,0.6,relu
5200,0.31856447,0.6,relu
5200,0.3311251,0.6,relu
5300,0.25685272,0.6,relu
5300,0.3152114,0.6,relu
5400,0.32221937,0.6,relu
5400,0.30040202,0.6,relu
5500,0.28886876,0.6,relu
5500,0.27663025,0.6,relu
5600,0.31785983,0.6,relu
5600,0.3350791,0.6,relu
5700,0.28253922,0.6,relu
5700,0.3122895,0.6,relu
5800,0.30543277,0.6,relu
5800,0.30286506,0.6,relu
5900,0.27476978,0.6,relu
5900,0.29951677,0.6,relu
6000,0.26299855,0.6,relu
6000,0.36190972,0.6,relu
6100,0.24031326,0.6,relu
6100,0.33893406,0.6,relu
6200,0.30294937,0.6,relu
6200,0.31486726,0.6,relu
6300,0.3370705,0.6,relu
6300,0.33189067,0.6,relu
6400,0.2818604,0.6,relu
6400,0.2865981,0.6,relu
6500,0.35156524,0.6,relu
6500,0.29550105,0.6,relu
6600,0.32620516,0.6,relu
6600,0.36775398,0.6,relu
6700,0.31869188,0.6,relu
6700,0.28951713,0.6,relu
6800,0.2658198,0.6,relu
6800,0.294815,0.6,relu
6900,0.32679823,0.6,relu
6900,0.31081045,0.6,relu
7000,0.33033222,0.6,relu
7000,0.30426377,0.6,relu
7100,0.28605807,0.6,relu
7100,0.30828002,0.6,relu
7200,0.25420406,0.6,relu
7200,0.28197214,0.6,relu
7300,0.3134276,0.6,relu
7300,0.30150732,0.6,relu
7400,0.29566997,0.6,relu
7400,0.28463396,0.6,relu
7500,0.28105214,0.6,relu
7500,0.33524382,0.6,relu
7600,0.31499162,0.6,relu
7600,0.27040625,0.6,relu
7700,0.23644404,0.6,relu
7700,0.25384253,0.6,relu
7800,0.2150408,0.6,relu
7800,0.2889834,0.6,relu
7900,0.29834816,0.6,relu
7900,0.2672169,0.6,relu
8000,0.3420049,0.6,relu
8000,0.35323167,0.6,relu
8100,0.2879344,0.6,relu
8100,0.33681822,0.6,relu
8200,0.2649795,0.6,relu
8200,0.3152661,0.6,relu
8300,0.33440477,0.6,relu
8300,0.29984477,0.6,relu
8400,0.26177195,0.6,relu
8400,0.27434886,0.6,relu
8500,0.28287897,0.6,relu
8500,0.28373343,0.6,relu
8600,0.2973426,0.6,relu
8600,0.28580296,0.6,relu
8700,0.27033898,0.6,relu
8700,0.29769892,0.6,relu
8800,0.31671232,0.6,relu
8800,0.28680608,0.6,relu
8900,0.29330665,0.6,relu
8900,0.31691316,0.6,relu
9000,0.30522403,0.6,relu
9000,0.25833267,0.6,relu
9100,0.31130788,0.6,relu
9100,0.29897797,0.6,relu
9200,0.28923717,0.6,relu
9200,0.25888622,0.6,relu
9300,0.32813427,0.6,relu
9300,0.33201185,0.6,relu
9400,0.30795833,0.6,relu
9400,0.32135037,0.6,relu
9500,0.28164887,0.6,relu
9500,0.31184337,0.6,relu
9600,0.31592464,0.6,relu
9600,0.3316205,0.6,relu
9700,0.29663825,0.6,relu
9700,0.25330502,0.6,relu
9800,0.26442352,0.6,relu
9800,0.31381673,0.6,relu
9900,0.31096888,0.6,relu
9900,0.3132704,0.6,relu
10000,0.28047833,0.6,relu
10000,0.28547975,0.6,relu
