$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
5000,0.2678387,0,relu
5000,0.28491947,0,relu
5000,0.22799434,0,relu
5000,0.26038322,0,relu
5000,0.23258784,0,relu
5000,0.2614274,0,relu
5000,0.2294747,0,relu
5000,0.27902806,0,relu
5000,0.222447,0,relu
5000,0.26770285,0,relu
5100,0.23035114,0,relu
5100,0.2781886,0,relu
5100,0.28111118,0,relu
5100,0.2626041,0,relu
5100,0.25123766,0,relu
5100,0.25834653,0,relu
5100,0.24934043,0,relu
5100,0.24503575,0,relu
5100,0.260687,0,relu
5100,0.25709555,0,relu
5200,0.26128238,0,relu
5200,0.269321,0,relu
5200,0.26646993,0,relu
5200,0.26356444,0,relu
5200,0.2889729,0,relu
5200,0.24338597,0,relu
5200,0.25681087,0,relu
5200,0.24557643,0,relu
5200,0.23281513,0,relu
5200,0.21479751,0,relu
5300,0.27764037,0,relu
5300,0.28700358,0,relu
5300,0.2802973,0,relu
5300,0.24426682,0,relu
5300,0.28982934,0,relu
5300,0.28039944,0,relu
5300,0.29587558,0,relu
5300,0.253903,0,relu
5300,0.23731498,0,relu
5300,0.25329924,0,relu
5400,0.28180802,0,relu
5400,0.27256313,0,relu
5400,0.28718084,0,relu
5400,0.27925068,0,relu
5400,0.292208,0,relu
5400,0.23495148,0,relu
5400,0.2445445,0,relu
5400,0.23887911,0,relu
5400,0.30443218,0,relu
5400,0.24389078,0,relu
5500,0.21987237,0,relu
5500,0.22686595,0,relu
5500,0.2351488,0,relu
5500,0.29271692,0,relu
5500,0.28187582,0,relu
5500,0.25694585,0,relu
5500,0.24771072,0,relu
5500,0.29546323,0,relu
5500,0.2418941,0,relu
5500,0.2958518,0,relu
5600,0.28388274,0,relu
5600,0.24463637,0,relu
5600,0.22851004,0,relu
5600,0.3067042,0,relu
5600,0.23236492,0,relu
5600,0.20386396,0,relu
5600,0.22955355,0,relu
5600,0.26882112,0,relu
5600,0.20141327,0,relu
5600,0.26426363,0,relu
5700,0.2389181,0,relu
5700,0.24736096,0,relu
5700,0.2590519,0,relu
5700,0.23866558,0,relu
5700,0.28060302,0,relu
5700,0.23450567,0,relu
5700,0.2691605,0,relu
5700,0.24550095,0,relu
5700,0.26294395,0,relu
5700,0.25500602,0,relu
5800,0.2618176,0,relu
5800,0.22512944,0,relu
5800,0.24484888,0,relu
5800,0.30388653,0,relu
5800,0.2705568,0,relu
5800,0.24859759,0,relu
5800,0.25569794,0,relu
5800,0.26506612,0,relu
5800,0.24102175,0,relu
5800,0.25552407,0,relu
5900,0.26213986,0,relu
5900,0.22952855,0,relu
5900,0.2882057,0,relu
5900,0.3055181,0,relu
5900,0.25725836,0,relu
5900,0.294911,0,relu
5900,0.22557107,0,relu
5900,0.29305083,0,relu
5900,0.28003445,0,relu
5900,0.26305923,0,relu
6000,0.30628884,0,relu
6000,0.25979662,0,relu
6000,0.22217333,0,relu
6000,0.25436583,0,relu
6000,0.23690744,0,relu
6000,0.2855587,0,relu
6000,0.26168457,0,relu
6000,0.26468512,0,relu
6000,0.2387695,0,relu
6000,0.23285778,0,relu
6100,0.24003276,0,relu
6100,0.24769695,0,relu
6100,0.25626707,0,relu
6100,0.20928606,0,relu
6100,0.2896008,0,relu
6100,0.20215145,0,relu
6100,0.22855952,0,relu
6100,0.25231478,0,relu
6100,0.28737223,0,relu
6100,0.2363699,0,relu
6200,0.24041513,0,relu
6200,0.26406792,0,relu
6200,0.23943509,0,relu
6200,0.2589539,0,relu
6200,0.2421206,0,relu
6200,0.2733248,0,relu
6200,0.27382284,0,relu
6200,0.27840316,0,relu
6200,0.27171534,0,relu
6200,0.28525093,0,relu
6300,0.19893758,0,relu
6300,0.24277206,0,relu
6300,0.21821347,0,relu
6300,0.23211005,0,relu
6300,0.2900065,0,relu
6300,0.2626479,0,relu
6300,0.29594007,0,relu
6300,0.21327578,0,relu
6300,0.24638683,0,relu
6300,0.22782943,0,relu
6400,0.24276488,0,relu
6400,0.25756434,0,relu
6400,0.23554914,0,relu
6400,0.25725713,0,relu
6400,0.26866096,0,relu
6400,0.2298275,0,relu
6400,0.2191169,0,relu
6400,0.22927962,0,relu
6400,0.213843,0,relu
6400,0.21575965,0,relu
6500,0.29677823,0,relu
6500,0.2605513,0,relu
6500,0.2793148,0,relu
6500,0.28448617,0,relu
