$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
5000,0.30703232,0.0,sigmoid
5000,0.3464103,0.0,sigmoid
5000,0.2612302,0.0,sigmoid
5000,0.30417886,0.0,sigmoid
5000,0.32248312,0.0,sigmoid
5000,0.3020354,0.0,sigmoid
5000,0.29829603,0.0,sigmoid
5000,0.2859032,0.0,sigmoid
5000,0.3008909,0.0,sigmoid
5000,0.27643323,0.0,sigmoid
6000,0.2644849,0.0,sigmoid
6000,0.25363374,0.0,sigmoid
6000,0.28105986,0.0,sigmoid
6000,0.3123881,0.0,sigmoid
6000,0.29008448,0.0,sigmoid
6000,0.29698667,0.0,sigmoid
6000,0.2666733,0.0,sigmoid
6000,0.3044233,0.0,sigmoid
6000,0.2703744,0.0,sigmoid
6000,0.3467797,0.0,sigmoid
5000,0.5555518,0.1,sigmoid
5000,0.7623805,0.1,sigmoid
5000,0.5253184,0.1,sigmoid
5000,0.43399885,0.1,sigmoid
5000,0.36306867,0.1,sigmoid
5000,0.76956695,0.1,sigmoid
5000,0.7753045,0.1,sigmoid
5000,0.74794275,0.1,sigmoid
5000,0.50241023,0.1,sigmoid
5000,0.7331737,0.1,sigmoid
6000,0.74241745,0.1,sigmoid
6000,0.6782475,0.1,sigmoid
6000,0.5721718,0.1,sigmoid
6000,0.7458893,0.1,sigmoid
6000,0.47002074,0.1,sigmoid
6000,0.7201803,0.1,sigmoid
6000,0.7403427,0.1,sigmoid
6000,0.6973743,0.1,sigmoid
6000,0.6246959,0.1,sigmoid
6000,0.76243186,0.1,sigmoid
5000,0.77692693,0.2,sigmoid
5000,0.7060375,0.2,sigmoid
5000,0.75340825,0.2,sigmoid
5000,0.7450437,0.2,sigmoid
5000,0.6098424,0.2,sigmoid
5000,0.75166774,0.2,sigmoid
5000,0.6151822,0.2,sigmoid
5000,0.4948321,0.2,sigmoid
5000,0.77087986,0.2,sigmoid
5000,0.32763302,0.2,sigmoid
6000,0.35204023,0.2,sigmoid
6000,0.7111885,0.2,sigmoid
6000,0.44248056,0.2,sigmoid
6000,0.361507,0.2,sigmoid
6000,0.74648327,0.2,sigmoid
6000,0.4267977,0.2,sigmoid
6000,0.65024906,0.2,sigmoid
6000,0.59232396,0.2,sigmoid
6000,0.4987331,0.2,sigmoid
6000,0.60299957,0.2,sigmoid
